date,year,week,month,yearMinus2000,dayOfSeries,dayOfYear,seasonalEffect,mu,y
2000-02-27,2000,8,2,0,58,58,0.608476870115126,2.75306629031874,8
2000-02-28,2000,9,2,0,59,59,0.622046748440868,2.80967866485137,4
2000-02-29,2000,9,2,0,60,60,0.635432300890177,2.86666247200229,3
2000-03-01,2000,9,3,0,61,61,0.648629561034981,2.9239760223186,4
2000-03-02,2000,9,3,0,62,62,0.661634618242278,2.98157572444982,4
2000-03-03,2000,9,3,0,63,63,0.674443618832946,3.03941611108769,7
2000-03-04,2000,9,3,0,64,64,0.687052767223667,3.0974498714393,5
2000-03-05,2000,9,3,0,65,65,0.699458327051647,3.15562789038477,10
2000-03-06,2000,10,3,0,66,66,0.711656622281775,3.21389929444675,9
2000-03-07,2000,10,3,0,67,67,0.723644038295912,3.27221150467304,10
2000-03-08,2000,10,3,0,68,68,0.735417022963986,3.33051029650606,9
2000-03-09,2000,10,3,0,69,69,0.746972087696555,3.38873986668379,9
2000-03-10,2000,10,3,0,70,70,0.758305808478562,3.44684290718596,6
2000-03-11,2000,10,3,0,71,71,0.769414826883938,3.50476068620722,7
2000-03-12,2000,10,3,0,72,72,0.780295851070776,3.56243313610558,5
2000-03-13,2000,11,3,0,73,73,0.790945656756777,3.61979894824023,9
2000-03-14,2000,11,3,0,74,74,0.801361088174677,3.67679567457721,6
2000-03-15,2000,11,3,0,75,75,0.811539059007361,3.73335983590565,7
2000-03-16,2000,11,3,0,76,76,0.821476553302414,3.78942703647072,6
2000-03-17,2000,11,3,0,77,77,0.831170626365808,3.84493208479261,4
2000-03-18,2000,11,3,0,78,78,0.840618405634478,3.89980912040416,7
2000-03-19,2000,11,3,0,79,79,0.849817091527528,3.95399174620311,9
2000-03-20,2000,12,3,0,80,80,0.858763958275803,4.00741316607864,11
2000-03-21,2000,12,3,0,81,81,0.867456354729597,4.06000632743679,8
2000-03-22,2000,12,3,0,82,82,0.875891705144243,4.11170406821441,11
2000-03-23,2000,12,3,0,83,83,0.884067509943364,4.16243926793837,14
2000-03-24,2000,12,3,0,84,84,0.891981346459549,4.21214500235477,13
2000-03-25,2000,12,3,0,85,85,0.899630869652243,4.26075470112307,12
2000-03-26,2000,12,3,0,86,86,0.907013812802636,4.30820230804162,8
2000-03-27,2000,13,3,0,87,87,0.914127988185334,4.3544224432457,6
2000-03-28,2000,13,3,0,88,88,0.920971287716635,4.39935056679563,6
2000-03-29,2000,13,3,0,89,89,0.927541683579197,4.44292314305171,6
2000-03-30,2000,13,3,0,90,90,0.933837228822925,4.48507780521534,10
2000-03-31,2000,13,3,0,91,91,0.939856057941895,4.52575351940074,8
2000-04-01,2000,13,4,0,92,92,0.945596387427143,4.56489074759049,11
2000-04-02,2000,13,4,0,93,93,0.951056516295153,4.60243160882005,7
2000-04-03,2000,14,4,0,94,94,0.956234826591906,4.63832003793221,9
2000-04-04,2000,14,4,0,95,95,0.961129783872301,4.67250194124132,7
2000-04-05,2000,14,4,0,96,96,0.965739937654855,4.70492534845067,9
2000-04-06,2000,14,4,0,97,97,0.970063921851507,4.73554056017275,9
2000-04-07,2000,14,4,0,98,98,0.97410045517242,4.76430029041295,7
2000-04-08,2000,14,4,0,99,99,0.977848341505657,4.79115980339184,8
2000-04-09,2000,14,4,0,100,100,0.981306470271609,4.81607704409896,8
2000-04-10,2000,15,4,0,101,101,0.984473816752092,4.83901276199358,10
2000-04-11,2000,15,4,0,102,102,0.987349442393986,4.85993062729301,7
2000-04-12,2000,15,4,0,103,103,0.989932495087353,4.87879733931828,5
2000-04-13,2000,15,4,0,104,104,0.992222209417932,4.89558272639961,12
2000-04-14,2000,15,4,0,105,105,0.994217906893952,4.91025983687942,16
2000-04-15,2000,15,4,0,106,106,0.995918996147179,4.92280502078954,10
2000-04-16,2000,15,4,0,107,107,0.997324973108156,4.93319800182026,9
2000-04-17,2000,16,4,0,108,108,0.998435421155564,4.94142193924319,9
2000-04-18,2000,16,4,0,109,109,0.999250011239683,4.94746347949534,10
2000-04-19,2000,16,4,0,110,110,0.999768501979891,4.95131279718044,9
2000-04-20,2000,16,4,0,111,111,0.99999073973619,4.95296362529258,7
2000-04-21,2000,16,4,0,112,112,0.999916658654738,4.95241327451845,10
2000-04-22,2000,16,4,0,113,113,0.999546280687357,4.94966264152622,9
2000-04-23,2000,16,4,0,114,114,0.998879715585034,4.9447162062015,14
2000-04-24,2000,17,4,0,115,115,0.997917160865392,4.93758201784351,9
2000-04-25,2000,17,4,0,116,116,0.99665890175417,4.92827167038742,12
2000-04-26,2000,17,4,0,117,117,0.995105311100698,4.91680026677064,10
2000-04-27,2000,17,4,0,118,118,0.993256849267414,4.90318637261272,10
2000-04-28,2000,17,4,0,119,119,0.991114063993455,4.88745195942824,8
2000-04-29,2000,17,4,0,120,120,0.988677590232341,4.86962233764142,9
2000-04-30,2000,17,4,0,121,121,0.98594814996383,4.8497260797179,10
2000-05-01,2000,18,5,0,122,122,0.982926551979982,4.82779493377423,10
2000-05-02,2000,18,5,0,123,123,0.97961369164549,4.8038637280682,8
2000-05-03,2000,18,5,0,124,124,0.976010550632368,4.77797026681321,6
2000-05-04,2000,18,5,0,125,125,0.972118196629061,4.75015521779695,7
2000-05-05,2000,18,5,0,126,126,0.967937783024064,4.72046199231871,6
2000-05-06,2000,18,5,0,127,127,0.963470548564149,4.68893661799049,9
2000-05-07,2000,18,5,0,128,128,0.958717816987296,4.65562760497442,11
2000-05-08,2000,19,5,0,129,129,0.953680996630446,4.6205858062527,8
2000-05-09,2000,19,5,0,130,130,0.948361580012172,4.58386427254649,9
2000-05-10,2000,19,5,0,131,131,0.942761143390421,4.54551810251641,12
2000-05-11,2000,19,5,0,132,132,0.936881346295431,4.50560428888996,8
2000-05-12,2000,19,5,0,133,133,0.930723931037979,4.46418156116977,10
2000-05-13,2000,19,5,0,134,134,0.924290722193093,4.4213102255816,14
2000-05-14,2000,19,5,0,135,135,0.917583626059394,4.37705200292213,9
2000-05-15,2000,20,5,0,136,136,0.910604630094216,4.33146986496386,8
2000-05-16,2000,20,5,0,137,137,0.903355802324685,4.28462787006847,10
2000-05-17,2000,20,5,0,138,138,0.895839290734909,4.2365909986502,11
2000-05-18,2000,20,5,0,139,139,0.888057322629493,4.18742498911776,12
2000-05-19,2000,20,5,0,140,140,0.880012203973536,4.13719617490714,12
2000-05-20,2000,20,5,0,141,141,0.871706318709322,4.08597132319834,9
2000-05-21,2000,20,5,0,142,142,0.863142128049912,4.03381747588725,7
2000-05-22,2000,21,5,0,143,143,0.854322169749827,3.98080179335905,9
2000-05-23,2000,21,5,0,144,144,0.845249057353063,3.92699140158264,8
2000-05-24,2000,21,5,0,145,145,0.835925479418637,3.87245324301662,11
2000-05-25,2000,21,5,0,146,146,0.82635419872391,3.81725393178625,6
2000-05-26,2000,21,5,0,147,147,0.816538051445916,3.7614596135583,4
2000-05-27,2000,21,5,0,148,148,0.806479946320945,3.70513583050693,7
2000-05-28,2000,21,5,0,149,149,0.796182863782616,3.64834739172845,11
2000-05-29,2000,22,5,0,150,150,0.785649855078715,3.59115824942728,8
2000-05-30,2000,22,5,0,151,151,0.774884041367041,3.53363138115889,6
2000-05-31,2000,22,5,0,152,152,0.763888612790543,3.47582867837866,5
2000-06-01,2000,22,6,0,153,153,0.752666827532008,3.41781084150895,7
2000-06-02,2000,22,6,0,154,154,0.741222010848596,3.35963728170001,5
2000-06-03,2000,22,6,0,155,155,0.729557554086488,3.30136602942387,4
2000-06-04,2000,22,6,0,156,156,0.717676913675962,3.24305365000493,3
2000-06-05,2000,23,6,0,157,157,0.705583610107178,3.18475516615598,3
2000-06-06,2000,23,6,0,158,158,0.693281226886978,3.12652398755439,7
2000-06-07,2000,23,6,0,159,159,0.680773409477016,3.06841184746053,6
2000-06-08,2000,23,6,0,160,160,0.668063864213534,3.01046874634921,3
2000-06-09,2000,23,6,0,161,161,0.655156357209085,2.9527429024946,6
2000-06-10,2000,23,6,0,162,162,0.642054713236564,2.89528070942093,5
2000-06-11,2000,23,6,0,163,163,0.628762814595834,2.83812670010457,5
2000-06-12,2000,24,6,0,164,164,0.615284599963328,2.78132351778788,4
2000-06-13,2000,24,6,0,165,165,0.601624063224923,2.72491189324233,4
2000-06-14,2000,24,6,0,166,166,0.587785252292473,2.66893062829712,3
2000-06-15,2000,24,6,0,167,167,0.573772267904325,2.61341658543013,3
2000-06-16,2000,24,6,0,168,168,0.559589262410177,2.5584046832008,5
2000-06-17,2000,24,6,0,169,169,0.545240438540651,2.50392789728922,4
2000-06-18,2000,24,6,0,170,170,0.530730048161933,2.45001726689219,4
2000-06-19,2000,25,6,0,171,171,0.516062391015853,2.39670190621565,4
2000-06-20,2000,25,6,0,172,172,0.501241813445776,2.34400902079329,5
2000-06-21,2000,25,6,0,173,173,0.48627270710869,2.29196392835361,7
2000-06-22,2000,25,6,0,174,174,0.471159507673864,2.24059008395158,6
2000-06-23,2000,25,6,0,175,175,0.455906693508459,2.18990910907723,7
2000-06-24,2000,25,6,0,176,176,0.440518784350495,2.13994082445102,8
2000-06-25,2000,25,6,0,177,177,0.425000339969554,2.09070328621478,5
2000-06-26,2000,26,6,0,178,178,0.409355958815621,2.04221282522809,2
2000-06-27,2000,26,6,0,179,179,0.393590276656467,1.9944840891818,1
2000-06-28,2000,26,6,0,180,180,0.377707965203965,1.947530087244,6
2000-06-29,2000,26,6,0,181,181,0.361713730729768,1.90136223695835,4
2000-06-30,2000,26,6,0,182,182,0.345612312670734,1.85599041312048,4
2000-07-01,2000,26,7,0,183,183,0.32940848222453,1.81142299836526,2
2000-07-02,2000,26,7,0,184,184,0.313107040935827,1.76766693520505,4
2000-07-03,2000,27,7,0,185,185,0.296712819273491,1.72472777926814,4
2000-07-04,2000,27,7,0,186,186,0.280230675199216,1.68260975349553,4
2000-07-05,2000,27,7,0,187,187,0.263665492728007,1.64131580306438,6
2000-07-06,2000,27,7,0,188,188,0.247022180480936,1.60084765081677,3
2000-07-07,2000,27,7,0,189,189,0.230305670230612,1.56120585298349,3
2000-07-08,2000,27,7,0,190,190,0.213520915439796,1.52238985500362,4
2000-07-09,2000,27,7,0,191,191,0.196672889793576,1.48439804725239,5
2000-07-10,2000,28,7,0,192,192,0.179766585725562,1.44722782050126,4
2000-07-11,2000,28,7,0,193,193,0.162807012938517,1.41087562094615,4
2000-07-12,2000,28,7,0,194,194,0.145799196919875,1.37533700465147,6
2000-07-13,2000,28,7,0,195,195,0.128748177452581,1.34060669126922,5
2000-07-14,2000,28,7,0,196,196,0.111659007121695,1.3066786169044,3
2000-07-15,2000,28,7,0,197,197,0.0945367498171991,1.27354598600906,1
2000-07-16,2000,28,7,0,198,198,0.077386479233463,1.24120132219907,2
2000-07-17,2000,29,7,0,199,199,0.060213277365793,1.20963651789811,2
2000-07-18,2000,29,7,0,200,200,0.0430222330045306,1.17884288272479,1
2000-07-19,2000,29,7,0,201,201,0.0258184402271331,1.14881119054848,0
2000-07-20,2000,29,7,0,202,202,0.0086069968886887,1.1195317251499,1
2000-07-21,2000,29,7,0,203,203,-0.00860699688868801,1.09099432443206,2
2000-07-22,2000,29,7,0,204,204,-0.0258184402271324,1.06318842313595,2
2000-07-23,2000,29,7,0,205,205,-0.0430222330045303,1.03610309402471,1
2000-07-24,2000,30,7,0,206,206,-0.0602132773657928,1.00972708750766,0
2000-07-25,2000,30,7,0,207,207,-0.0773864792334632,0.984048869683913,0
2000-07-26,2000,30,7,0,208,208,-0.0945367498171993,0.959056658792277,0
2000-07-27,2000,30,7,0,209,209,-0.111659007121694,0.934738460061241,0
2000-07-28,2000,30,7,0,210,210,-0.128748177452581,0.911082098959094,1
2000-07-29,2000,30,7,0,211,211,-0.145799196919874,0.888075252850259,1
2000-07-30,2000,30,7,0,212,212,-0.162807012938516,0.865705481069327,2
2000-07-31,2000,31,7,0,213,213,-0.179766585725562,0.843960253429298,1
2000-08-01,2000,31,8,0,214,214,-0.196672889793576,0.822826977185114,1
2000-08-02,2000,31,8,0,215,215,-0.213520915439796,0.802293022477653,0
2000-08-03,2000,31,8,0,216,216,-0.230305670230612,0.78234574628711,0
2000-08-04,2000,31,8,0,217,217,-0.247022180480935,0.76297251492795,1
2000-08-05,2000,31,8,0,218,218,-0.263665492728007,0.744160725120528,1
2000-08-06,2000,31,8,0,219,219,-0.280230675199216,0.725897823677041,0
2000-08-07,2000,32,8,0,220,220,-0.29671281927349,0.708171325841607,0
2000-08-08,2000,32,8,0,221,221,-0.313107040935827,0.690968832326145,1
2000-08-09,2000,32,8,0,222,222,-0.32940848222453,0.674278045085239,2
2000-08-10,2000,32,8,0,223,223,-0.345612312670733,0.658086781874386,1
2000-08-11,2000,32,8,0,224,224,-0.361713730729767,0.642382989636986,2
2000-08-12,2000,32,8,0,225,225,-0.377707965203965,0.627154756766098,2
2000-08-13,2000,32,8,0,226,226,-0.393590276656466,0.612390324287435,2
2000-08-14,2000,33,8,0,227,227,-0.409355958815621,0.598078096010271,1
2000-08-15,2000,33,8,0,228,228,-0.425000339969554,0.58420664769295,1
2000-08-16,2000,33,8,0,229,229,-0.440518784350495,0.570764735269494,1
2000-08-17,2000,33,8,0,230,230,-0.455906693508459,0.557741302183466,1
2000-08-18,2000,33,8,0,231,231,-0.471159507673864,0.545125485874714,0
2000-08-19,2000,33,8,0,232,232,-0.48627270710869,0.532906623463983,1
2000-08-20,2000,33,8,0,233,233,-0.501241813445776,0.521074256679612,1
2000-08-21,2000,34,8,0,234,234,-0.516062391015853,0.509618136069639,1
2000-08-22,2000,34,8,0,235,235,-0.530730048161933,0.498528224541658,3
2000-08-23,2000,34,8,0,236,236,-0.545240438540651,0.48779470027171,3
2000-08-24,2000,34,8,0,237,237,-0.559589262410176,0.477407959022371,2
2000-08-25,2000,34,8,0,238,238,-0.573772267904324,0.467358615908969,2
2000-08-26,2000,34,8,0,239,239,-0.587785252292473,0.45763750665167,2
2000-08-27,2000,34,8,0,240,240,-0.601624063224923,0.448235688349851,2
2000-08-28,2000,35,8,0,241,241,-0.615284599963328,0.439144439813895,1
2000-08-29,2000,35,8,0,242,242,-0.628762814595835,0.430355261488209,0
2000-08-30,2000,35,8,0,243,243,-0.642054713236564,0.421859874997909,1
2000-08-31,2000,35,8,0,244,244,-0.655156357209085,0.413650222350303,2
2000-09-01,2000,35,9,0,245,245,-0.668063864213533,0.405718464820922,2
2000-09-02,2000,35,9,0,246,246,-0.680773409477016,0.398056981552533,1
2000-09-03,2000,35,9,0,247,247,-0.693281226886977,0.390658367894235,0
2000-09-04,2000,36,9,0,248,248,-0.705583610107177,0.383515433506435,0
2000-09-05,2000,36,9,0,249,249,-0.717676913675962,0.37662120025622,3
2000-09-06,2000,36,9,0,250,250,-0.729557554086488,0.36996889992635,5
2000-09-07,2000,36,9,0,251,251,-0.741222010848596,0.363551971759918,2
2000-09-08,2000,36,9,0,252,252,-0.752666827532008,0.357364059861465,1
2000-09-09,2000,36,9,0,253,253,-0.763888612790543,0.351399010474218,1
2000-09-10,2000,36,9,0,254,254,-0.774884041367041,0.345650869151948,2
2000-09-11,2000,37,9,0,255,255,-0.785649855078714,0.340113877842883,1
2000-09-12,2000,37,9,0,256,256,-0.796182863782615,0.334782471902029,1
2000-09-13,2000,37,9,0,257,257,-0.806479946320945,0.32965127704726,2
2000-09-14,2000,37,9,0,258,258,-0.816538051445916,0.324715106273529,1
2000-09-15,2000,37,9,0,259,259,-0.826354198723909,0.319968956738654,1
2000-09-16,2000,37,9,0,260,260,-0.835925479418637,0.315408006633207,0
2000-09-17,2000,37,9,0,261,261,-0.845249057353063,0.31102761204619,0
2000-09-18,2000,38,9,0,262,262,-0.854322169749827,0.306823303837375,0
2000-09-19,2000,38,9,0,263,263,-0.863142128049912,0.302790784526392,0
2000-09-20,2000,38,9,0,264,264,-0.871706318709322,0.298925925207939,0
2000-09-21,2000,38,9,0,265,265,-0.880012203973536,0.295224762501765,0
2000-09-22,2000,38,9,0,266,266,-0.888057322629493,0.291683495545434,0
2000-09-23,2000,38,9,0,267,267,-0.895839290734909,0.288298483037262,0
2000-09-24,2000,38,9,0,268,268,-0.903355802324684,0.285066240336212,1
2000-09-25,2000,39,9,0,269,269,-0.910604630094216,0.281983436625008,1
2000-09-26,2000,39,9,0,270,270,-0.917583626059393,0.27904689214219,0
2000-09-27,2000,39,9,0,271,271,-0.924290722193093,0.276253575488361,0
2000-09-28,2000,39,9,0,272,272,-0.930723931037979,0.273600601011425,0
2000-09-29,2000,39,9,0,273,273,-0.936881346295431,0.271085226275183,0
2000-09-30,2000,39,9,0,274,274,-0.942761143390421,0.268704849615272,0
2000-10-01,2000,39,10,0,275,275,-0.948361580012172,0.266457007786062,0
2000-10-02,2000,40,10,0,276,276,-0.953680996630445,0.26433937370178,0
2000-10-03,2000,40,10,0,277,277,-0.958717816987296,0.262349754274834,0
2000-10-04,2000,40,10,0,278,278,-0.963470548564149,0.260486088353999,0
2000-10-05,2000,40,10,0,279,279,-0.967937783024064,0.258746444764872,1
2000-10-06,2000,40,10,0,280,280,-0.972118196629061,0.257129020454754,1
2000-10-07,2000,40,10,0,281,281,-0.976010550632368,0.255632138743889,1
2000-10-08,2000,40,10,0,282,282,-0.97961369164549,0.254254247684777,2
2000-10-09,2000,41,10,0,283,283,-0.982926551979982,0.252993918531107,1
2000-10-10,2000,41,10,0,284,284,-0.98594814996383,0.251849844317644,0
2000-10-11,2000,41,10,0,285,285,-0.98867759023234,0.250820838552287,0
2000-10-12,2000,41,10,0,286,286,-0.991114063993455,0.249905834021345,0
2000-10-13,2000,41,10,0,287,287,-0.993256849267414,0.249103881708933,1
2000-10-14,2000,41,10,0,288,288,-0.995105311100697,0.248414149831306,1
2000-10-15,2000,41,10,0,289,289,-0.99665890175417,0.247835922986801,0
2000-10-16,2000,42,10,0,290,290,-0.997917160865392,0.24736860142196,0
2000-10-17,2000,42,10,0,291,291,-0.998879715585034,0.247011700414339,0
2000-10-18,2000,42,10,0,292,292,-0.999546280687357,0.246764849772378,0
2000-10-19,2000,42,10,0,293,293,-0.999916658654738,0.246627793452665,0
2000-10-20,2000,42,10,0,294,294,-0.99999073973619,0.246600389294807,0
2000-10-21,2000,42,10,0,295,295,-0.999768501979891,0.246682608874096,0
2000-10-22,2000,42,10,0,296,296,-0.999250011239683,0.24687453747203,0
2000-10-23,2000,43,10,0,297,297,-0.998435421155564,0.247176374164728,0
2000-10-24,2000,43,10,0,298,298,-0.997324973108156,0.247588432029182,0
2000-10-25,2000,43,10,0,299,299,-0.995918996147179,0.248111138467206,0
2000-10-26,2000,43,10,0,300,300,-0.994217906893952,0.248745035646912,0
2000-10-27,2000,43,10,0,301,301,-0.992222209417932,0.249490781061407,0
2000-10-28,2000,43,10,0,302,302,-0.989932495087353,0.250349148204389,0
2000-10-29,2000,43,10,0,303,303,-0.987349442393986,0.251321027362173,0
2000-10-30,2000,44,10,0,304,304,-0.984473816752092,0.252407426521639,0
2000-10-31,2000,44,10,0,305,305,-0.981306470271609,0.253609472393456,0
2000-11-01,2000,44,11,0,306,306,-0.977848341505657,0.254928411549849,0
2000-11-02,2000,44,11,0,307,307,-0.974100455172421,0.256365611676065,0
2000-11-03,2000,44,11,0,308,308,-0.970063921851507,0.257922562934529,0
2000-11-04,2000,44,11,0,309,309,-0.965739937654855,0.259600879440601,0
2000-11-05,2000,44,11,0,310,310,-0.961129783872301,0.26140230084863,1
2000-11-06,2000,45,11,0,311,311,-0.956234826591906,0.263328694046881,1
2000-11-07,2000,45,11,0,312,312,-0.951056516295154,0.265382054959706,0
2000-11-08,2000,45,11,0,313,313,-0.945596387427143,0.267564510455123,3
2000-11-09,2000,45,11,0,314,314,-0.939856057941895,0.269878320355788,2
2000-11-10,2000,45,11,0,315,315,-0.933837228822925,0.272325879551052,1
2000-11-11,2000,45,11,0,316,316,-0.927541683579197,0.27490972020759,0
2000-11-12,2000,45,11,0,317,317,-0.920971287716635,0.277632514075778,1
2000-11-13,2000,46,11,0,318,318,-0.914127988185334,0.280497074888711,1
2000-11-14,2000,46,11,0,319,319,-0.907013812802636,0.283506360850399,1
2000-11-15,2000,46,11,0,320,320,-0.899630869652243,0.286663477209384,1
2000-11-16,2000,46,11,0,321,321,-0.891981346459549,0.289971678913559,0
2000-11-17,2000,46,11,0,322,322,-0.884067509943364,0.29343437334165,0
2000-11-18,2000,46,11,0,323,323,-0.875891705144243,0.297055123106315,0
2000-11-19,2000,46,11,0,324,324,-0.867456354729597,0.300837648923389,0
2000-11-20,2000,47,11,0,325,325,-0.858763958275803,0.304785832541281,2
2000-11-21,2000,47,11,0,326,326,-0.849817091527528,0.308903719724009,1
2000-11-22,2000,47,11,0,327,327,-0.840618405634478,0.313195523280788,1
2000-11-23,2000,47,11,0,328,328,-0.831170626365808,0.317665626134474,0
2000-11-24,2000,47,11,0,329,329,-0.821476553302415,0.322318584420541,0
2000-11-25,2000,47,11,0,330,330,-0.811539059007361,0.327159130607585,1
2000-11-26,2000,47,11,0,331,331,-0.801361088174677,0.332192176629618,1
2000-11-27,2000,48,11,0,332,332,-0.790945656756778,0.337422817019701,2
2000-11-28,2000,48,11,0,333,333,-0.780295851070776,0.342856332033616,1
2000-11-29,2000,48,11,0,334,334,-0.769414826883938,0.348498190751491,1
2000-11-30,2000,48,11,0,335,335,-0.758305808478563,0.354354054144387,1
2000-12-01,2000,48,12,0,336,336,-0.746972087696555,0.360429778091947,2
2000-12-02,2000,48,12,0,337,337,-0.735417022963986,0.366731416336262,1
2000-12-03,2000,48,12,0,338,338,-0.723644038295912,0.373265223356096,0
2000-12-04,2000,49,12,0,339,339,-0.711656622281775,0.380037657144582,0
2000-12-05,2000,49,12,0,340,340,-0.699458327051647,0.387055381872431,1
2000-12-06,2000,49,12,0,341,341,-0.687052767223667,0.39432527041757,1
2000-12-07,2000,49,12,0,342,342,-0.674443618832946,0.401854406740996,0
2000-12-08,2000,49,12,0,343,343,-0.661634618242279,0.409650088087416,1
2000-12-09,2000,49,12,0,344,344,-0.648629561034982,0.417719826988063,2
2000-12-10,2000,49,12,0,345,345,-0.635432300890178,0.426071353041801,2
2000-12-11,2000,50,12,0,346,346,-0.622046748440868,0.434712614449375,2
2000-12-12,2000,50,12,0,347,347,-0.608476870115126,0.44365177927436,1
2000-12-13,2000,50,12,0,348,348,-0.594726686960764,0.452897236403041,1
2000-12-14,2000,50,12,0,349,349,-0.580800273453801,0.462457596174136,1
2000-12-15,2000,50,12,0,350,350,-0.566701756291118,0.472341690647913,1
2000-12-16,2000,50,12,0,351,351,-0.55243531316762,0.482558573482929,1
2000-12-17,2000,50,12,0,352,352,-0.538005171538299,0.493117519387253,0
2000-12-18,2000,51,12,0,353,353,-0.52341560736555,0.504028023109705,0
2000-12-19,2000,51,12,0,354,354,-0.508670943852104,0.515299797935349,1
2000-12-20,2000,51,12,0,355,355,-0.493775550159977,0.526942773648124,1
2000-12-21,2000,51,12,0,356,356,-0.478733840115788,0.53896709392231,1
2000-12-22,2000,51,12,0,357,357,-0.463550270902851,0.551383113103234,2
2000-12-23,2000,51,12,0,358,358,-0.448229341740411,0.564201392336523,1
2000-12-24,2000,51,12,0,359,359,-0.432775592550432,0.577432695004063,0
2000-12-25,2000,52,12,0,360,360,-0.417193602612317,0.591087981423812,0
2000-12-26,2000,52,12,0,361,361,-0.401487989205974,0.605178402769702,0
