date,year,week,month,yearMinus2000,dailyrainfall,dayOfYear,seasonalEffect,mu,y
2000-02-01,2000,5,2,0,2.389488783665,32,0.205104499868619,1.50329106764535,0
2000-02-02,2000,5,2,0,8.77995934104547,33,0.221921513004166,1.54169470553701,1
2000-02-03,2000,5,2,0,6.54522017110139,34,0.23867276600595,1.58092346687816,3
2000-02-04,2000,5,2,0,4.82370894635096,35,0.255353295116187,1.62097844071489,3
2000-02-05,2000,5,2,0,9.71029797103256,36,0.271958157534106,1.66185963318824,3
2000-02-06,2000,5,2,0,4.60025910520926,37,0.288482432880609,1.70356591173775,2
2000-02-07,2000,6,2,0,6.2205648701638,38,0.304921224656289,1.74609494930565,1
2000-02-08,2000,6,2,0,3.88418034650385,39,0.321269661692364,1.78944316873493,3
2000-02-09,2000,6,2,0,0.0659272680059075,40,0.337522899594113,1.83360568756627,1
2000-02-10,2000,6,2,0,9.38319087261334,41,0.353676122176372,1.8785762634496,2
2000-02-11,2000,6,2,0,2.42171092424542,42,0.369724542890673,1.92434724039688,1
2000-02-12,2000,6,2,0,5.65594530198723,43,0.385663406243607,1.97090949611294,1
2000-02-13,2000,6,2,0,1.80899103172123,44,0.401487989205973,2.01825239065078,0
2000-02-14,2000,7,2,0,9.04499290045351,45,0.417193602612317,2.06636371664681,2
2000-02-15,2000,7,2,0,0.842913051601499,46,0.432775592550431,2.11522965139959,0
2000-02-16,2000,7,2,0,9.01171715464443,47,0.448229341740411,2.16483471106298,1
2000-02-17,2000,7,2,0,8.91611465718597,48,0.463550270902851,2.21516170723112,0
2000-02-18,2000,7,2,0,7.23374933004379,49,0.478733840115789,2.26619170619761,2
2000-02-19,2000,7,2,0,5.64809889299795,50,0.493775550159977,2.31790399117568,1
2000-02-20,2000,7,2,0,3.88609998160973,51,0.508670943852104,2.37027602776862,1
2000-02-21,2000,8,2,0,7.459288504906,52,0.52341560736555,2.42328343298151,2
2000-02-22,2000,8,2,0,8.95420984365046,53,0.5380051715383,2.47689994806489,3
2000-02-23,2000,8,2,0,8.0907674995251,54,0.55243531316762,2.53109741547961,2
2000-02-24,2000,8,2,0,8.18546326132491,55,0.566701756291118,2.58584576026894,4
2000-02-25,2000,8,2,0,4.21199968550354,56,0.580800273453801,2.6411129761187,2
2000-02-26,2000,8,2,0,1.76696498412639,57,0.594726686960763,2.69686511637978,7
2000-02-27,2000,8,2,0,1.73786558909342,58,0.608476870115126,2.75306629031874,4
2000-02-28,2000,9,2,0,8.92545744543895,59,0.622046748440868,2.80967866485137,1
2000-02-29,2000,9,2,0,7.43334062164649,60,0.635432300890177,2.86666247200229,4
2000-03-01,2000,9,3,0,5.60983883915469,61,0.648629561034981,2.9239760223186,4
2000-03-02,2000,9,3,0,0.712338301818818,62,0.661634618242278,2.98157572444982,2
2000-03-03,2000,9,3,0,8.53584753349423,63,0.674443618832946,3.03941611108769,3
2000-03-04,2000,9,3,0,9.13710964843631,64,0.687052767223667,3.0974498714393,4
2000-03-05,2000,9,3,0,2.25361202843487,65,0.699458327051647,3.15562789038477,6
2000-03-06,2000,10,3,0,6.28560133045539,66,0.711656622281775,3.21389929444675,4
2000-03-07,2000,10,3,0,0.691449935548008,67,0.723644038295912,3.27221150467304,1
2000-03-08,2000,10,3,0,5.14853976666927,68,0.735417022963986,3.33051029650606,2
2000-03-09,2000,10,3,0,8.05417287861928,69,0.746972087696555,3.38873986668379,2
2000-03-10,2000,10,3,0,9.71789465518668,70,0.758305808478562,3.44684290718596,5
2000-03-11,2000,10,3,0,3.42915244866163,71,0.769414826883938,3.50476068620722,5
2000-03-12,2000,10,3,0,6.3136344240047,72,0.780295851070776,3.56243313610558,5
2000-03-13,2000,11,3,0,4.10054257372394,73,0.790945656756777,3.61979894824023,1
2000-03-14,2000,11,3,0,3.45694060437381,74,0.801361088174677,3.67679567457721,2
2000-03-15,2000,11,3,0,8.24872852535918,75,0.811539059007361,3.73335983590565,2
2000-03-16,2000,11,3,0,6.89900528639555,76,0.821476553302414,3.78942703647072,4
2000-03-17,2000,11,3,0,3.20645014755428,77,0.831170626365808,3.84493208479261,5
2000-03-18,2000,11,3,0,4.41329659428448,78,0.840618405634478,3.89980912040416,4
2000-03-19,2000,11,3,0,2.61885447893292,79,0.849817091527528,3.95399174620311,4
2000-03-20,2000,12,3,0,1.33204466663301,80,0.858763958275803,4.00741316607864,5
2000-03-21,2000,12,3,0,9.1047868761234,81,0.867456354729597,4.06000632743679,3
2000-03-22,2000,12,3,0,7.09167925873771,82,0.875891705144243,4.11170406821441,4
2000-03-23,2000,12,3,0,5.72026313049719,83,0.884067509943364,4.16243926793837,4
2000-03-24,2000,12,3,0,9.16968236677349,84,0.891981346459549,4.21214500235477,3
2000-03-25,2000,12,3,0,9.01910115499049,85,0.899630869652243,4.26075470112307,3
2000-03-26,2000,12,3,0,0.586219872348011,86,0.907013812802636,4.30820230804162,4
2000-03-27,2000,13,3,0,0.457009491510689,87,0.914127988185334,4.3544224432457,3
2000-03-28,2000,13,3,0,9.88808509195223,88,0.920971287716635,4.39935056679563,2
2000-03-29,2000,13,3,0,2.05824960023165,89,0.927541683579197,4.44292314305171,2
2000-03-30,2000,13,3,0,9.29055972024798,90,0.933837228822925,4.48507780521534,8
2000-03-31,2000,13,3,0,1.94303552154452,91,0.939856057941895,4.52575351940074,6
2000-04-01,2000,13,4,0,1.2680093664676,92,0.945596387427143,4.56489074759049,6
2000-04-02,2000,13,4,0,5.39368811063469,93,0.951056516295153,4.60243160882005,4
2000-04-03,2000,14,4,0,2.72337059257552,94,0.956234826591906,4.63832003793221,1
2000-04-04,2000,14,4,0,3.53586649522185,95,0.961129783872301,4.67250194124132,9
2000-04-05,2000,14,4,0,0.841048567090184,96,0.965739937654855,4.70492534845067,9
2000-04-06,2000,14,4,0,7.654377091676,97,0.970063921851507,4.73554056017275,3
2000-04-07,2000,14,4,0,4.44485993124545,98,0.97410045517242,4.76430029041295,3
2000-04-08,2000,14,4,0,0.361374919302762,99,0.977848341505657,4.79115980339184,6
2000-04-09,2000,14,4,0,7.01289142947644,100,0.981306470271609,4.81607704409896,4
2000-04-10,2000,15,4,0,2.53427358111367,101,0.984473816752092,4.83901276199358,4
2000-04-11,2000,15,4,0,6.29631243413314,102,0.987349442393986,4.85993062729301,4
2000-04-12,2000,15,4,0,2.6640361500904,103,0.989932495087353,4.87879733931828,5
2000-04-13,2000,15,4,0,5.32445900142193,104,0.992222209417932,4.89558272639961,1
2000-04-14,2000,15,4,0,4.68264800496399,105,0.994217906893952,4.91025983687942,3
2000-04-15,2000,15,4,0,5.74396894779056,106,0.995918996147179,4.92280502078954,7
2000-04-16,2000,15,4,0,6.68445498216897,107,0.997324973108156,4.93319800182026,9
2000-04-17,2000,16,4,0,2.12113675428554,108,0.998435421155564,4.94142193924319,5
2000-04-18,2000,16,4,0,9.75632399087772,109,0.999250011239683,4.94746347949534,5
2000-04-19,2000,16,4,0,8.09382772771642,110,0.999768501979891,4.95131279718044,2
2000-04-20,2000,16,4,0,2.75334256468341,111,0.99999073973619,4.95296362529258,4
2000-04-21,2000,16,4,0,3.99123691488057,112,0.999916658654738,4.95241327451845,4
2000-04-22,2000,16,4,0,2.90300444234163,113,0.999546280687357,4.94966264152622,6
2000-04-23,2000,16,4,0,4.92993233725429,114,0.998879715585034,4.9447162062015,6
2000-04-24,2000,17,4,0,7.56775138666853,115,0.997917160865392,4.93758201784351,9
2000-04-25,2000,17,4,0,5.10697468882427,116,0.99665890175417,4.92827167038742,5
2000-04-26,2000,17,4,0,4.38148951623589,117,0.995105311100698,4.91680026677064,7
2000-04-27,2000,17,4,0,7.90914088021964,118,0.993256849267414,4.90318637261272,6
2000-04-28,2000,17,4,0,9.11315168021247,119,0.991114063993455,4.88745195942824,2
2000-04-29,2000,17,4,0,0.710741439834237,120,0.988677590232341,4.86962233764142,3
2000-04-30,2000,17,4,0,1.42642312915996,121,0.98594814996383,4.8497260797179,6
2000-05-01,2000,18,5,0,3.93072782550007,122,0.982926551979982,4.82779493377423,4
2000-05-02,2000,18,5,0,8.56437721289694,123,0.97961369164549,4.8038637280682,3
2000-05-03,2000,18,5,0,2.64254226116464,124,0.976010550632368,4.77797026681321,7
2000-05-04,2000,18,5,0,0.946383585687727,125,0.972118196629061,4.75015521779695,3
2000-05-05,2000,18,5,0,7.24333662772551,126,0.967937783024064,4.72046199231871,8
2000-05-06,2000,18,5,0,9.80476663913578,127,0.963470548564149,4.68893661799049,6
2000-05-07,2000,18,5,0,2.00600294396281,128,0.958717816987296,4.65562760497442,8
2000-05-08,2000,19,5,0,5.52263837540522,129,0.953680996630446,4.6205858062527,4
2000-05-09,2000,19,5,0,3.45464471029118,130,0.948361580012172,4.58386427254649,8
2000-05-10,2000,19,5,0,4.08390007447451,131,0.942761143390421,4.54551810251641,5
2000-05-11,2000,19,5,0,1.88031216384843,132,0.936881346295431,4.50560428888996,7
2000-05-12,2000,19,5,0,3.45552658895031,133,0.930723931037979,4.46418156116977,3
2000-05-13,2000,19,5,0,1.83656022651121,134,0.924290722193093,4.4213102255816,4
2000-05-14,2000,19,5,0,8.13114545540884,135,0.917583626059394,4.37705200292213,7
2000-05-15,2000,20,5,0,8.81635409081355,136,0.910604630094216,4.33146986496386,4
2000-05-16,2000,20,5,0,7.00614618835971,137,0.903355802324685,4.28462787006847,5
2000-05-17,2000,20,5,0,2.76427360251546,138,0.895839290734909,4.2365909986502,3
2000-05-18,2000,20,5,0,4.32004463626072,139,0.888057322629493,4.18742498911776,9
2000-05-19,2000,20,5,0,0.128159222658724,140,0.880012203973536,4.13719617490714,4
2000-05-20,2000,20,5,0,5.63038276741281,141,0.871706318709322,4.08597132319834,3
2000-05-21,2000,20,5,0,6.70700266724452,142,0.863142128049912,4.03381747588725,2
2000-05-22,2000,21,5,0,3.13602324109525,143,0.854322169749827,3.98080179335905,3
2000-05-23,2000,21,5,0,9.47543668560684,144,0.845249057353063,3.92699140158264,3
2000-05-24,2000,21,5,0,1.68803035514429,145,0.835925479418637,3.87245324301662,4
2000-05-25,2000,21,5,0,4.40414110431448,146,0.82635419872391,3.81725393178625,1
2000-05-26,2000,21,5,0,5.71626756573096,147,0.816538051445916,3.7614596135583,4
2000-05-27,2000,21,5,0,9.74653967190534,148,0.806479946320945,3.70513583050693,0
2000-05-28,2000,21,5,0,7.64771067770198,149,0.796182863782616,3.64834739172845,2
2000-05-29,2000,22,5,0,4.43055097246543,150,0.785649855078715,3.59115824942728,6
2000-05-30,2000,22,5,0,3.55862457072362,151,0.774884041367041,3.53363138115889,5
2000-05-31,2000,22,5,0,0.36456988658756,152,0.763888612790543,3.47582867837866,4
2000-06-01,2000,22,6,0,5.93880393542349,153,0.752666827532008,3.41781084150895,2
2000-06-02,2000,22,6,0,9.61553275352344,154,0.741222010848596,3.35963728170001,1
2000-06-03,2000,22,6,0,2.52730440115556,155,0.729557554086488,3.30136602942387,5
2000-06-04,2000,22,6,0,8.47206252859905,156,0.717676913675962,3.24305365000493,1
2000-06-05,2000,23,6,0,2.12781420908868,157,0.705583610107178,3.18475516615598,2
2000-06-06,2000,23,6,0,2.77890844736248,158,0.693281226886978,3.12652398755439,2
2000-06-07,2000,23,6,0,4.79385086800903,159,0.680773409477016,3.06841184746053,2
2000-06-08,2000,23,6,0,7.7999979769811,160,0.668063864213534,3.01046874634921,2
2000-06-09,2000,23,6,0,9.00940360734239,161,0.655156357209085,2.9527429024946,3
2000-06-10,2000,23,6,0,9.43460653303191,162,0.642054713236564,2.89528070942093,2
2000-06-11,2000,23,6,0,4.1521517559886,163,0.628762814595834,2.83812670010457,3
2000-06-12,2000,24,6,0,3.3411023998633,164,0.615284599963328,2.78132351778788,4
2000-06-13,2000,24,6,0,2.82731729093939,165,0.601624063224923,2.72491189324233,2
2000-06-14,2000,24,6,0,0.722215918358415,166,0.587785252292473,2.66893062829712,5
2000-06-15,2000,24,6,0,0.706824765074998,167,0.573772267904325,2.61341658543013,3
2000-06-16,2000,24,6,0,1.58950168872252,168,0.559589262410177,2.5584046832008,3
2000-06-17,2000,24,6,0,1.50863158982247,169,0.545240438540651,2.50392789728922,2
2000-06-18,2000,24,6,0,7.52092257607728,170,0.530730048161933,2.45001726689219,3
2000-06-19,2000,25,6,0,0.956870620138943,171,0.516062391015853,2.39670190621565,4
2000-06-20,2000,25,6,0,6.11492298077792,172,0.501241813445776,2.34400902079329,3
2000-06-21,2000,25,6,0,2.00944477925077,173,0.48627270710869,2.29196392835361,3
2000-06-22,2000,25,6,0,5.03317515831441,174,0.471159507673864,2.24059008395158,3
2000-06-23,2000,25,6,0,1.29100444726646,175,0.455906693508459,2.18990910907723,1
2000-06-24,2000,25,6,0,0.0292278453707695,176,0.440518784350495,2.13994082445102,1
2000-06-25,2000,25,6,0,6.43842284800485,177,0.425000339969554,2.09070328621478,2
2000-06-26,2000,26,6,0,2.41036388324574,178,0.409355958815621,2.04221282522809,4
2000-06-27,2000,26,6,0,4.20035355724394,179,0.393590276656467,1.9944840891818,2
2000-06-28,2000,26,6,0,7.154276734218,180,0.377707965203965,1.947530087244,0
2000-06-29,2000,26,6,0,1.00684681907296,181,0.361713730729768,1.90136223695835,0
2000-06-30,2000,26,6,0,6.06836844468489,182,0.345612312670734,1.85599041312048,4
2000-07-01,2000,26,7,0,2.12431624298915,183,0.32940848222453,1.81142299836526,2
2000-07-02,2000,26,7,0,8.9474075101316,184,0.313107040935827,1.76766693520505,2
2000-07-03,2000,27,7,0,5.63198033720255,185,0.296712819273491,1.72472777926814,1
2000-07-04,2000,27,7,0,2.47724784072489,186,0.280230675199216,1.68260975349553,2
2000-07-05,2000,27,7,0,7.30655817780644,187,0.263665492728007,1.64131580306438,1
2000-07-06,2000,27,7,0,2.66332316910848,188,0.247022180480936,1.60084765081677,0
2000-07-07,2000,27,7,0,7.54257221473381,189,0.230305670230612,1.56120585298349,2
2000-07-08,2000,27,7,0,9.57943279761821,190,0.213520915439796,1.52238985500362,3
2000-07-09,2000,27,7,0,4.8123628180474,191,0.196672889793576,1.48439804725239,2
2000-07-10,2000,28,7,0,9.09494666615501,192,0.179766585725562,1.44722782050126,2
2000-07-11,2000,28,7,0,9.90105426637456,193,0.162807012938517,1.41087562094615,0
2000-07-12,2000,28,7,0,2.32417264487594,194,0.145799196919875,1.37533700465147,3
2000-07-13,2000,28,7,0,2.81778582138941,195,0.128748177452581,1.34060669126922,4
2000-07-14,2000,28,7,0,7.03925271052867,196,0.111659007121695,1.3066786169044,4
2000-07-15,2000,28,7,0,8.33597430493683,197,0.0945367498171991,1.27354598600906,0
2000-07-16,2000,28,7,0,4.65678904671222,198,0.077386479233463,1.24120132219907,0
2000-07-17,2000,29,7,0,3.90684430953115,199,0.060213277365793,1.20963651789811,0
2000-07-18,2000,29,7,0,0.938881819602102,200,0.0430222330045306,1.17884288272479,2
2000-07-19,2000,29,7,0,7.5326554174535,201,0.0258184402271331,1.14881119054848,1
2000-07-20,2000,29,7,0,7.92965770931914,202,0.0086069968886887,1.1195317251499,0
2000-07-21,2000,29,7,0,4.54177575884387,203,-0.00860699688868801,1.09099432443206,2
2000-07-22,2000,29,7,0,3.60822065500543,204,-0.0258184402271324,1.06318842313595,1
2000-07-23,2000,29,7,0,3.60742370365188,205,-0.0430222330045303,1.03610309402471,3
2000-07-24,2000,30,7,0,0.611685337498784,206,-0.0602132773657928,1.00972708750766,0
2000-07-25,2000,30,7,0,4.57881778711453,207,-0.0773864792334632,0.984048869683913,0
2000-07-26,2000,30,7,0,4.87117363605648,208,-0.0945367498171993,0.959056658792277,1
2000-07-27,2000,30,7,0,5.17899634083733,209,-0.111659007121694,0.934738460061241,0
2000-07-28,2000,30,7,0,0.369176401291043,210,-0.128748177452581,0.911082098959094,3
2000-07-29,2000,30,7,0,0.421581247355789,211,-0.145799196919874,0.888075252850259,1
2000-07-30,2000,30,7,0,9.01331109460443,212,-0.162807012938516,0.865705481069327,1
2000-07-31,2000,31,7,0,9.40120626939461,213,-0.179766585725562,0.843960253429298,1
2000-08-01,2000,31,8,0,6.2837514677085,214,-0.196672889793576,0.822826977185114,1
2000-08-02,2000,31,8,0,7.81247321981937,215,-0.213520915439796,0.802293022477653,2
2000-08-03,2000,31,8,0,7.49204465653747,216,-0.230305670230612,0.78234574628711,1
2000-08-04,2000,31,8,0,1.35991471121088,217,-0.247022180480935,0.76297251492795,1
2000-08-05,2000,31,8,0,1.76233722129837,218,-0.263665492728007,0.744160725120528,1
2000-08-06,2000,31,8,0,0.419923425652087,219,-0.280230675199216,0.725897823677041,2
2000-08-07,2000,32,8,0,6.64383963448927,220,-0.29671281927349,0.708171325841607,1
2000-08-08,2000,32,8,0,6.65542729897425,221,-0.313107040935827,0.690968832326145,1
2000-08-09,2000,32,8,0,6.46650761598721,222,-0.32940848222453,0.674278045085239,2
2000-08-10,2000,32,8,0,7.71732530323789,223,-0.345612312670733,0.658086781874386,2
2000-08-11,2000,32,8,0,2.89874697802588,224,-0.361713730729767,0.642382989636986,0
2000-08-12,2000,32,8,0,8.06541189551354,225,-0.377707965203965,0.627154756766098,0
2000-08-13,2000,32,8,0,5.47567017609254,226,-0.393590276656466,0.612390324287435,0
2000-08-14,2000,33,8,0,6.19942133082077,227,-0.409355958815621,0.598078096010271,1
2000-08-15,2000,33,8,0,4.72406398272142,228,-0.425000339969554,0.58420664769295,0
2000-08-16,2000,33,8,0,4.54609859269112,229,-0.440518784350495,0.570764735269494,2
2000-08-17,2000,33,8,0,9.69472549157217,230,-0.455906693508459,0.557741302183466,0
2000-08-18,2000,33,8,0,6.64090270875022,231,-0.471159507673864,0.545125485874714,0
2000-08-19,2000,33,8,0,8.41994054848328,232,-0.48627270710869,0.532906623463983,1
2000-08-20,2000,33,8,0,2.12519496446475,233,-0.501241813445776,0.521074256679612,0
2000-08-21,2000,34,8,0,1.83243501232937,234,-0.516062391015853,0.509618136069639,0
2000-08-22,2000,34,8,0,2.72856254596263,235,-0.530730048161933,0.498528224541658,0
2000-08-23,2000,34,8,0,5.80793056404218,236,-0.545240438540651,0.48779470027171,0
2000-08-24,2000,34,8,0,9.56828356254846,237,-0.559589262410176,0.477407959022371,3
2000-08-25,2000,34,8,0,2.51723478315398,238,-0.573772267904324,0.467358615908969,0
2000-08-26,2000,34,8,0,2.37011644523591,239,-0.587785252292473,0.45763750665167,1
2000-08-27,2000,34,8,0,2.72420490160584,240,-0.601624063224923,0.448235688349851,0
2000-08-28,2000,35,8,0,4.47003526845947,241,-0.615284599963328,0.439144439813895,0
2000-08-29,2000,35,8,0,3.62594545353204,242,-0.628762814595835,0.430355261488209,0
2000-08-30,2000,35,8,0,1.58712107688189,243,-0.642054713236564,0.421859874997909,1
2000-08-31,2000,35,8,0,6.19552267715335,244,-0.655156357209085,0.413650222350303,3
2000-09-01,2000,35,9,0,9.69518254511058,245,-0.668063864213533,0.405718464820922,0
2000-09-02,2000,35,9,0,0.531939568463713,246,-0.680773409477016,0.398056981552533,0
2000-09-03,2000,35,9,0,3.67912049405277,247,-0.693281226886977,0.390658367894235,1
2000-09-04,2000,36,9,0,7.1582188596949,248,-0.705583610107177,0.383515433506435,0
2000-09-05,2000,36,9,0,8.34790505468845,249,-0.717676913675962,0.37662120025622,0
2000-09-06,2000,36,9,0,2.70291994558647,250,-0.729557554086488,0.36996889992635,0
2000-09-07,2000,36,9,0,8.38381541427225,251,-0.741222010848596,0.363551971759918,0
2000-09-08,2000,36,9,0,0.962108180392534,252,-0.752666827532008,0.357364059861465,0
2000-09-09,2000,36,9,0,1.73286689212546,253,-0.763888612790543,0.351399010474218,0
2000-09-10,2000,36,9,0,3.7829447677359,254,-0.774884041367041,0.345650869151948,0
2000-09-11,2000,37,9,0,6.36525011388585,255,-0.785649855078714,0.340113877842883,1
2000-09-12,2000,37,9,0,6.07102339388803,256,-0.796182863782615,0.334782471902029,0
2000-09-13,2000,37,9,0,2.7611605077982,257,-0.806479946320945,0.32965127704726,1
2000-09-14,2000,37,9,0,9.98923882376403,258,-0.816538051445916,0.324715106273529,3
2000-09-15,2000,37,9,0,0.0860376749187708,259,-0.826354198723909,0.319968956738654,1
2000-09-16,2000,37,9,0,8.80331017775461,260,-0.835925479418637,0.315408006633207,0
2000-09-17,2000,37,9,0,8.59487358480692,261,-0.845249057353063,0.31102761204619,0
2000-09-18,2000,38,9,0,1.10581709071994,262,-0.854322169749827,0.306823303837375,0
2000-09-19,2000,38,9,0,7.4801142862998,263,-0.863142128049912,0.302790784526392,0
2000-09-20,2000,38,9,0,1.18903852533549,264,-0.871706318709322,0.298925925207939,0
2000-09-21,2000,38,9,0,1.67366176145151,265,-0.880012203973536,0.295224762501765,0
2000-09-22,2000,38,9,0,0.0486163725145161,266,-0.888057322629493,0.291683495545434,0
2000-09-23,2000,38,9,0,0.24120609043166,267,-0.895839290734909,0.288298483037262,0
2000-09-24,2000,38,9,0,5.54887531790882,268,-0.903355802324684,0.285066240336212,1
2000-09-25,2000,39,9,0,2.79349875170738,269,-0.910604630094216,0.281983436625008,0
2000-09-26,2000,39,9,0,9.19927866430953,270,-0.917583626059393,0.27904689214219,1
2000-09-27,2000,39,9,0,8.33796508377418,271,-0.924290722193093,0.276253575488361,0
2000-09-28,2000,39,9,0,9.43518140353262,272,-0.930723931037979,0.273600601011425,0
2000-09-29,2000,39,9,0,7.09625954041258,273,-0.936881346295431,0.271085226275183,0
2000-09-30,2000,39,9,0,5.78025754541159,274,-0.942761143390421,0.268704849615272,1
2000-10-01,2000,39,10,0,4.67261527199298,275,-0.948361580012172,0.266457007786062,0
2000-10-02,2000,40,10,0,8.75026802998036,276,-0.953680996630445,0.26433937370178,0
2000-10-03,2000,40,10,0,0.467992317862809,277,-0.958717816987296,0.262349754274834,1
2000-10-04,2000,40,10,0,9.19092266587541,278,-0.963470548564149,0.260486088353999,0
2000-10-05,2000,40,10,0,8.87360026361421,279,-0.967937783024064,0.258746444764872,0
2000-10-06,2000,40,10,0,6.09339375514537,280,-0.972118196629061,0.257129020454754,0
2000-10-07,2000,40,10,0,8.41465671779588,281,-0.976010550632368,0.255632138743889,0
2000-10-08,2000,40,10,0,4.1480922838673,282,-0.97961369164549,0.254254247684777,0
2000-10-09,2000,41,10,0,7.64030884485692,283,-0.982926551979982,0.252993918531107,0
2000-10-10,2000,41,10,0,0.0947758182883263,284,-0.98594814996383,0.251849844317644,0
2000-10-11,2000,41,10,0,1.99232980143279,285,-0.98867759023234,0.250820838552287,1
2000-10-12,2000,41,10,0,1.02227692957968,286,-0.991114063993455,0.249905834021345,0
2000-10-13,2000,41,10,0,7.33024261891842,287,-0.993256849267414,0.249103881708933,1
2000-10-14,2000,41,10,0,1.05634269071743,288,-0.995105311100697,0.248414149831306,0
2000-10-15,2000,41,10,0,2.3495859769173,289,-0.99665890175417,0.247835922986801,0
2000-10-16,2000,42,10,0,4.38285625306889,290,-0.997917160865392,0.24736860142196,0
2000-10-17,2000,42,10,0,3.26543216360733,291,-0.998879715585034,0.247011700414339,0
2000-10-18,2000,42,10,0,0.121551409829408,292,-0.999546280687357,0.246764849772378,0
2000-10-19,2000,42,10,0,1.15944684948772,293,-0.999916658654738,0.246627793452665,0
2000-10-20,2000,42,10,0,4.54363343073055,294,-0.99999073973619,0.246600389294807,0
2000-10-21,2000,42,10,0,6.51906349696219,295,-0.999768501979891,0.246682608874096,0
2000-10-22,2000,42,10,0,9.8825935088098,296,-0.999250011239683,0.24687453747203,0
2000-10-23,2000,43,10,0,3.02795691881329,297,-0.998435421155564,0.247176374164728,0
2000-10-24,2000,43,10,0,2.92549330508336,298,-0.997324973108156,0.247588432029182,0
2000-10-25,2000,43,10,0,8.18554192781448,299,-0.995918996147179,0.248111138467206,0
2000-10-26,2000,43,10,0,1.76573242759332,300,-0.994217906893952,0.248745035646912,0
2000-10-27,2000,43,10,0,8.09752512956038,301,-0.992222209417932,0.249490781061407,1
2000-10-28,2000,43,10,0,5.37767850793898,302,-0.989932495087353,0.250349148204389,0
2000-10-29,2000,43,10,0,2.07194081274793,303,-0.987349442393986,0.251321027362173,3
2000-10-30,2000,44,10,0,1.99969508452341,304,-0.984473816752092,0.252407426521639,0
2000-10-31,2000,44,10,0,9.38133640680462,305,-0.981306470271609,0.253609472393456,0
2000-11-01,2000,44,11,0,9.73661103285849,306,-0.977848341505657,0.254928411549849,0
2000-11-02,2000,44,11,0,9.15360727114603,307,-0.974100455172421,0.256365611676065,0
2000-11-03,2000,44,11,0,9.87781226402149,308,-0.970063921851507,0.257922562934529,1
2000-11-04,2000,44,11,0,3.14459573710337,309,-0.965739937654855,0.259600879440601,1
2000-11-05,2000,44,11,0,8.57720649335533,310,-0.961129783872301,0.26140230084863,0
2000-11-06,2000,45,11,0,7.0896031614393,311,-0.956234826591906,0.263328694046881,0
2000-11-07,2000,45,11,0,7.18590733129531,312,-0.951056516295154,0.265382054959706,0
