date,year,week,month,fylke,yearMinus2000,dayOfSeries,dayOfYear,seasonalEffect,mu,y
2010-05-17,2010,20,5,1,10,137,137,0.903355802324685,12,38
2010-05-18,2010,20,5,1,10,138,138,0.895839290734909,12,34
2010-05-19,2010,20,5,1,10,139,139,0.888057322629493,11,36
2010-05-20,2010,20,5,1,10,140,140,0.880012203973536,11,35
2010-05-21,2010,20,5,1,10,141,141,0.871706318709322,11,36
2010-05-22,2010,20,5,1,10,142,142,0.863142128049912,11,34
2010-05-23,2010,20,5,1,10,143,143,0.854322169749827,11,35
2010-05-24,2010,21,5,1,10,144,144,0.845249057353063,11,29
2010-05-25,2010,21,5,1,10,145,145,0.835925479418637,11,31
2010-05-26,2010,21,5,1,10,146,146,0.82635419872391,10,23
2010-05-27,2010,21,5,1,10,147,147,0.816538051445916,10,21
2010-05-28,2010,21,5,1,10,148,148,0.806479946320945,10,19
2010-05-29,2010,21,5,1,10,149,149,0.796182863782616,10,28
2010-05-30,2010,21,5,1,10,150,150,0.785649855078715,10,32
2010-05-31,2010,22,5,1,10,151,151,0.774884041367041,10,25
2010-06-01,2010,22,6,1,10,152,152,0.763888612790543,9,25
2010-06-02,2010,22,6,1,10,153,153,0.752666827532008,9,21
2010-06-03,2010,22,6,1,10,154,154,0.741222010848596,9,19
2010-06-04,2010,22,6,1,10,155,155,0.729557554086488,9,32
2010-06-05,2010,22,6,1,10,156,156,0.717676913675962,9,26
2010-06-06,2010,22,6,1,10,157,157,0.705583610107178,9,22
2010-06-07,2010,23,6,1,10,158,158,0.693281226886978,8,22
2010-06-08,2010,23,6,1,10,159,159,0.680773409477016,8,20
2010-06-09,2010,23,6,1,10,160,160,0.668063864213534,8,16
2010-06-10,2010,23,6,1,10,161,161,0.655156357209085,8,18
2010-06-11,2010,23,6,1,10,162,162,0.642054713236564,8,23
2010-06-12,2010,23,6,1,10,163,163,0.628762814595834,8,20
2010-06-13,2010,23,6,1,10,164,164,0.615284599963328,8,17
2010-06-14,2010,24,6,1,10,165,165,0.601624063224923,7,16
2010-06-15,2010,24,6,1,10,166,166,0.587785252292473,7,17
2010-06-16,2010,24,6,1,10,167,167,0.573772267904325,7,16
2010-06-17,2010,24,6,1,10,168,168,0.559589262410177,7,17
2010-06-18,2010,24,6,1,10,169,169,0.545240438540651,7,20
2010-06-19,2010,24,6,1,10,170,170,0.530730048161933,7,18
2010-06-20,2010,24,6,1,10,171,171,0.516062391015853,7,19
2010-06-21,2010,25,6,1,10,172,172,0.501241813445776,6,24
2010-06-22,2010,25,6,1,10,173,173,0.48627270710869,6,19
2010-06-23,2010,25,6,1,10,174,174,0.471159507673864,6,18
2010-06-24,2010,25,6,1,10,175,175,0.455906693508459,6,22
2010-06-25,2010,25,6,1,10,176,176,0.440518784350495,6,17
2010-06-26,2010,25,6,1,10,177,177,0.425000339969554,6,18
2010-06-27,2010,25,6,1,10,178,178,0.409355958815621,6,18
2010-06-28,2010,26,6,1,10,179,179,0.393590276656467,5,14
2010-06-29,2010,26,6,1,10,180,180,0.377707965203965,5,13
2010-06-30,2010,26,6,1,10,181,181,0.361713730729768,5,12
2010-07-01,2010,26,7,1,10,182,182,0.345612312670734,5,13
2010-07-02,2010,26,7,1,10,183,183,0.32940848222453,5,13
2010-07-03,2010,26,7,1,10,184,184,0.313107040935827,5,15
2010-07-04,2010,26,7,1,10,185,185,0.296712819273491,5,17
2010-07-05,2010,27,7,1,10,186,186,0.280230675199216,5,19
2010-07-06,2010,27,7,1,10,187,187,0.263665492728007,4,14
2010-07-07,2010,27,7,1,10,188,188,0.247022180480936,4,18
2010-07-08,2010,27,7,1,10,189,189,0.230305670230612,4,13
2010-07-09,2010,27,7,1,10,190,190,0.213520915439796,4,11
2010-07-10,2010,27,7,1,10,191,191,0.196672889793576,4,10
2010-07-11,2010,27,7,1,10,192,192,0.179766585725562,4,15
2010-07-12,2010,28,7,1,10,193,193,0.162807012938517,4,11
2010-07-13,2010,28,7,1,10,194,194,0.145799196919875,4,13
2010-07-14,2010,28,7,1,10,195,195,0.128748177452581,4,11
2010-07-15,2010,28,7,1,10,196,196,0.111659007121695,4,11
2010-07-16,2010,28,7,1,10,197,197,0.0945367498171991,3,11
2010-07-17,2010,28,7,1,10,198,198,0.077386479233463,3,13
2010-07-18,2010,28,7,1,10,199,199,0.060213277365793,3,9
2010-07-19,2010,29,7,1,10,200,200,0.0430222330045306,3,7
2010-07-20,2010,29,7,1,10,201,201,0.0258184402271331,3,7
2010-07-21,2010,29,7,1,10,202,202,0.0086069968886887,3,7
2010-07-22,2010,29,7,1,10,203,203,-0.00860699688868801,3,7
2010-07-23,2010,29,7,1,10,204,204,-0.0258184402271324,3,5
2010-07-24,2010,29,7,1,10,205,205,-0.0430222330045303,3,7
2010-07-25,2010,29,7,1,10,206,206,-0.0602132773657928,3,9
2010-07-26,2010,30,7,1,10,207,207,-0.0773864792334632,3,9
2010-07-27,2010,30,7,1,10,208,208,-0.0945367498171993,3,9
2010-07-28,2010,30,7,1,10,209,209,-0.111659007121694,3,7
2010-07-29,2010,30,7,1,10,210,210,-0.128748177452581,2,4
2010-07-30,2010,30,7,1,10,211,211,-0.145799196919874,2,5
2010-07-31,2010,30,7,1,10,212,212,-0.162807012938516,2,4
2010-08-01,2010,30,8,1,10,213,213,-0.179766585725562,2,7
2010-08-02,2010,31,8,1,10,214,214,-0.196672889793576,2,6
2010-08-03,2010,31,8,1,10,215,215,-0.213520915439796,2,7
2010-08-04,2010,31,8,1,10,216,216,-0.230305670230612,2,6
2010-08-05,2010,31,8,1,10,217,217,-0.247022180480935,2,7
2010-08-06,2010,31,8,1,10,218,218,-0.263665492728007,2,7
2010-08-07,2010,31,8,1,10,219,219,-0.280230675199216,2,6
2010-08-08,2010,31,8,1,10,220,220,-0.29671281927349,2,7
2010-08-09,2010,32,8,1,10,221,221,-0.313107040935827,2,5
2010-08-10,2010,32,8,1,10,222,222,-0.32940848222453,2,9
2010-08-11,2010,32,8,1,10,223,223,-0.345612312670733,2,10
2010-08-12,2010,32,8,1,10,224,224,-0.361713730729767,2,7
2010-08-13,2010,32,8,1,10,225,225,-0.377707965203965,2,6
2010-08-14,2010,32,8,1,10,226,226,-0.393590276656466,2,8
2010-08-15,2010,32,8,1,10,227,227,-0.409355958815621,2,7
2010-08-16,2010,33,8,1,10,228,228,-0.425000339969554,2,5
2010-08-17,2010,33,8,1,10,229,229,-0.440518784350495,2,5
2010-08-18,2010,33,8,1,10,230,230,-0.455906693508459,2,5
2010-08-19,2010,33,8,1,10,231,231,-0.471159507673864,1,4
2010-08-20,2010,33,8,1,10,232,232,-0.48627270710869,1,4
2010-08-21,2010,33,8,1,10,233,233,-0.501241813445776,1,4
2010-08-22,2010,33,8,1,10,234,234,-0.516062391015853,1,3
2010-08-23,2010,34,8,1,10,235,235,-0.530730048161933,1,2
2010-08-24,2010,34,8,1,10,236,236,-0.545240438540651,1,4
2010-08-25,2010,34,8,1,10,237,237,-0.559589262410176,1,8
2010-08-26,2010,34,8,1,10,238,238,-0.573772267904324,1,7
2010-08-27,2010,34,8,1,10,239,239,-0.587785252292473,1,4
2010-08-28,2010,34,8,1,10,240,240,-0.601624063224923,1,2
2010-08-29,2010,34,8,1,10,241,241,-0.615284599963328,1,3
2010-08-30,2010,35,8,1,10,242,242,-0.628762814595835,1,3
2010-08-31,2010,35,8,1,10,243,243,-0.642054713236564,1,4
2010-09-01,2010,35,9,1,10,244,244,-0.655156357209085,1,2
2010-09-02,2010,35,9,1,10,245,245,-0.668063864213533,1,5
2010-09-03,2010,35,9,1,10,246,246,-0.680773409477016,1,5
2010-09-04,2010,35,9,1,10,247,247,-0.693281226886977,1,3
2010-09-05,2010,35,9,1,10,248,248,-0.705583610107177,1,2
2010-09-06,2010,36,9,1,10,249,249,-0.717676913675962,1,1
2010-09-07,2010,36,9,1,10,250,250,-0.729557554086488,1,1
2010-09-08,2010,36,9,1,10,251,251,-0.741222010848596,1,2
2010-09-09,2010,36,9,1,10,252,252,-0.752666827532008,1,5
2010-09-10,2010,36,9,1,10,253,253,-0.763888612790543,1,4
2010-09-11,2010,36,9,1,10,254,254,-0.774884041367041,1,3
2010-09-12,2010,36,9,1,10,255,255,-0.785649855078714,1,3
2010-09-13,2010,37,9,1,10,256,256,-0.796182863782615,1,2
2010-09-14,2010,37,9,1,10,257,257,-0.806479946320945,1,3
2010-09-15,2010,37,9,1,10,258,258,-0.816538051445916,1,2
2010-09-16,2010,37,9,1,10,259,259,-0.826354198723909,1,1
2010-09-17,2010,37,9,1,10,260,260,-0.835925479418637,1,2
2010-09-18,2010,37,9,1,10,261,261,-0.845249057353063,1,3
2010-09-19,2010,37,9,1,10,262,262,-0.854322169749827,1,3
2010-09-20,2010,38,9,1,10,263,263,-0.863142128049912,1,2
2010-09-21,2010,38,9,1,10,264,264,-0.871706318709322,1,5
2010-09-22,2010,38,9,1,10,265,265,-0.880012203973536,1,5
2010-09-23,2010,38,9,1,10,266,266,-0.888057322629493,1,3
2010-09-24,2010,38,9,1,10,267,267,-0.895839290734909,1,3
2010-09-25,2010,38,9,1,10,268,268,-0.903355802324684,1,3
2010-09-26,2010,38,9,1,10,269,269,-0.910604630094216,1,3
2010-09-27,2010,39,9,1,10,270,270,-0.917583626059393,1,3
2010-09-28,2010,39,9,1,10,271,271,-0.924290722193093,1,3
2010-09-29,2010,39,9,1,10,272,272,-0.930723931037979,1,5
2010-09-30,2010,39,9,1,10,273,273,-0.936881346295431,1,4
2010-10-01,2010,39,10,1,10,274,274,-0.942761143390421,1,4
2010-10-02,2010,39,10,1,10,275,275,-0.948361580012172,1,3
2010-10-03,2010,39,10,1,10,276,276,-0.953680996630445,1,3
2010-10-04,2010,40,10,1,10,277,277,-0.958717816987296,1,4
2010-10-05,2010,40,10,1,10,278,278,-0.963470548564149,1,4
2010-10-06,2010,40,10,1,10,279,279,-0.967937783024064,1,2
2010-10-07,2010,40,10,1,10,280,280,-0.972118196629061,1,2
2010-10-08,2010,40,10,1,10,281,281,-0.976010550632368,1,3
2010-10-09,2010,40,10,1,10,282,282,-0.97961369164549,1,3
2010-10-10,2010,40,10,1,10,283,283,-0.982926551979982,1,3
2010-10-11,2010,41,10,1,10,284,284,-0.98594814996383,1,2
2010-10-12,2010,41,10,1,10,285,285,-0.98867759023234,1,3
2010-10-13,2010,41,10,1,10,286,286,-0.991114063993455,1,2
2010-10-14,2010,41,10,1,10,287,287,-0.993256849267414,1,1
2010-10-15,2010,41,10,1,10,288,288,-0.995105311100697,1,3
2010-10-16,2010,41,10,1,10,289,289,-0.99665890175417,1,4
2010-10-17,2010,41,10,1,10,290,290,-0.997917160865392,1,4
2010-10-18,2010,42,10,1,10,291,291,-0.998879715585034,1,2
2010-10-19,2010,42,10,1,10,292,292,-0.999546280687357,1,4
2010-10-20,2010,42,10,1,10,293,293,-0.999916658654738,1,2
2010-10-21,2010,42,10,1,10,294,294,-0.99999073973619,1,3
2010-10-22,2010,42,10,1,10,295,295,-0.999768501979891,1,6
2010-10-23,2010,42,10,1,10,296,296,-0.999250011239683,1,4
2010-10-24,2010,42,10,1,10,297,297,-0.998435421155564,1,5
2010-10-25,2010,43,10,1,10,298,298,-0.997324973108156,1,4
2010-10-26,2010,43,10,1,10,299,299,-0.995918996147179,1,2
2010-10-27,2010,43,10,1,10,300,300,-0.994217906893952,1,2
2010-10-28,2010,43,10,1,10,301,301,-0.992222209417932,1,2
2010-10-29,2010,43,10,1,10,302,302,-0.989932495087353,1,4
2010-10-30,2010,43,10,1,10,303,303,-0.987349442393986,1,5
2010-10-31,2010,43,10,1,10,304,304,-0.984473816752092,1,3
2010-11-01,2010,44,11,1,10,305,305,-0.981306470271609,1,5
2010-11-02,2010,44,11,1,10,306,306,-0.977848341505657,1,6
2010-11-03,2010,44,11,1,10,307,307,-0.974100455172421,1,4
2010-11-04,2010,44,11,1,10,308,308,-0.970063921851507,1,2
2010-11-05,2010,44,11,1,10,309,309,-0.965739937654855,1,2
2010-11-06,2010,44,11,1,10,310,310,-0.961129783872301,1,2
2010-11-07,2010,44,11,1,10,311,311,-0.956234826591906,1,3
2010-11-08,2010,45,11,1,10,312,312,-0.951056516295154,1,3
2010-11-09,2010,45,11,1,10,313,313,-0.945596387427143,1,4
2010-11-10,2010,45,11,1,10,314,314,-0.939856057941895,1,3
2010-11-11,2010,45,11,1,10,315,315,-0.933837228822925,1,2
2010-11-12,2010,45,11,1,10,316,316,-0.927541683579197,1,3
2010-11-13,2010,45,11,1,10,317,317,-0.920971287716635,1,5
2010-11-14,2010,45,11,1,10,318,318,-0.914127988185334,1,5
2010-11-15,2010,46,11,1,10,319,319,-0.907013812802636,1,3
2010-11-16,2010,46,11,1,10,320,320,-0.899630869652243,1,5
2010-11-17,2010,46,11,1,10,321,321,-0.891981346459549,1,6
2010-11-18,2010,46,11,1,10,322,322,-0.884067509943364,1,3
2010-11-19,2010,46,11,1,10,323,323,-0.875891705144243,1,3
2010-11-20,2010,46,11,1,10,324,324,-0.867456354729597,1,2
2010-11-21,2010,46,11,1,10,325,325,-0.858763958275803,1,5
2010-11-22,2010,47,11,1,10,326,326,-0.849817091527528,1,3
2010-11-23,2010,47,11,1,10,327,327,-0.840618405634478,1,4
2010-11-24,2010,47,11,1,10,328,328,-0.831170626365808,1,2
2010-11-25,2010,47,11,1,10,329,329,-0.821476553302415,1,4
2010-11-26,2010,47,11,1,10,330,330,-0.811539059007361,1,3
2010-11-27,2010,47,11,1,10,331,331,-0.801361088174677,1,2
2010-11-28,2010,47,11,1,10,332,332,-0.790945656756778,1,2
2010-11-29,2010,48,11,1,10,333,333,-0.780295851070776,1,3
2010-11-30,2010,48,11,1,10,334,334,-0.769414826883938,1,3
2010-12-01,2010,48,12,1,10,335,335,-0.758305808478563,1,3
2010-12-02,2010,48,12,1,10,336,336,-0.746972087696555,1,2
2010-12-03,2010,48,12,1,10,337,337,-0.735417022963986,1,3
2010-12-04,2010,48,12,1,10,338,338,-0.723644038295912,1,4
2010-12-05,2010,48,12,1,10,339,339,-0.711656622281775,1,6
2010-12-06,2010,49,12,1,10,340,340,-0.699458327051647,1,6
2010-12-07,2010,49,12,1,10,341,341,-0.687052767223667,1,3
2010-12-08,2010,49,12,1,10,342,342,-0.674443618832946,1,2
2010-12-09,2010,49,12,1,10,343,343,-0.661634618242279,1,4
2010-12-10,2010,49,12,1,10,344,344,-0.648629561034982,1,3
2010-12-11,2010,49,12,1,10,345,345,-0.635432300890178,1,3
2010-12-12,2010,49,12,1,10,346,346,-0.622046748440868,1,3
2010-12-13,2010,50,12,1,10,347,347,-0.608476870115126,1,3
2010-12-14,2010,50,12,1,10,348,348,-0.594726686960764,1,3
2010-12-15,2010,50,12,1,10,349,349,-0.580800273453801,1,2
2010-12-16,2010,50,12,1,10,350,350,-0.566701756291118,1,3
2010-12-17,2010,50,12,1,10,351,351,-0.55243531316762,1,4
2010-12-18,2010,50,12,1,10,352,352,-0.538005171538299,1,3
2010-12-19,2010,50,12,1,10,353,353,-0.52341560736555,1,3
2010-12-20,2010,51,12,1,10,354,354,-0.508670943852104,1,4
2010-12-21,2010,51,12,1,10,355,355,-0.493775550159977,1,3
2010-12-22,2010,51,12,1,10,356,356,-0.478733840115788,1,3
2010-12-23,2010,51,12,1,10,357,357,-0.463550270902851,1,3
2010-12-24,2010,51,12,1,10,358,358,-0.448229341740411,2,3
2010-12-25,2010,51,12,1,10,359,359,-0.432775592550432,2,3
2010-12-26,2010,51,12,1,10,360,360,-0.417193602612317,2,4
2010-12-27,2010,52,12,1,10,361,361,-0.401487989205974,2,3
2010-12-28,2010,52,12,1,10,362,362,-0.385663406243607,2,2
2010-12-29,2010,52,12,1,10,363,363,-0.369724542890673,2,4
2010-12-30,2010,52,12,1,10,364,364,-0.353676122176372,2,7
2010-12-31,2010,52,12,1,10,365,365,-0.337522899594114,2,9
2011-01-01,2010,52,1,1,10,366,1,-0.321269661692364,2,7
2011-01-02,2010,52,1,1,10,367,2,-0.304921224656289,2,7
2011-01-03,2011,1,1,1,11,368,3,-0.288482432880609,2,5
2011-01-04,2011,1,1,1,11,369,4,-0.271958157534106,2,8
2011-01-05,2011,1,1,1,11,370,5,-0.255353295116187,2,10
2011-01-06,2011,1,1,1,11,371,6,-0.23867276600595,2,7
2011-01-07,2011,1,1,1,11,372,7,-0.221921513004166,2,7
2011-01-08,2011,1,1,1,11,373,8,-0.205104499868619,2,8
2011-01-09,2011,1,1,1,11,374,9,-0.188226709843244,3,11
2011-01-10,2011,2,1,1,11,375,10,-0.171293144181478,3,7
2011-01-11,2011,2,1,1,11,376,11,-0.154308820664281,3,7
2011-01-12,2011,2,1,1,11,377,12,-0.137278772113265,3,7
2011-01-13,2011,2,1,1,11,378,13,-0.120208044899353,3,9
2011-01-14,2011,2,1,1,11,379,14,-0.103101697447435,3,10
2011-01-15,2011,2,1,1,11,380,15,-0.0859647987374465,3,11
2011-01-16,2011,2,1,1,11,381,16,-0.0688024268023199,3,10
2011-01-17,2011,3,1,1,11,382,17,-0.0516196672232538,3,10
2011-01-18,2011,3,1,1,11,383,18,-0.0344216116227457,3,9
2011-01-19,2011,3,1,1,11,384,19,-0.0172133561558347,3,13
2011-01-20,2011,3,1,1,11,385,20,0,3,11
2011-01-21,2011,3,1,1,11,386,21,0.0172133561558347,3,12
2011-01-22,2011,3,1,1,11,387,22,0.0344216116227457,3,11
2011-01-23,2011,3,1,1,11,388,23,0.0516196672232538,4,12
2011-01-24,2011,4,1,1,11,389,24,0.0688024268023199,4,13
2011-01-25,2011,4,1,1,11,390,25,0.0859647987374465,4,12
2011-01-26,2011,4,1,1,11,391,26,0.103101697447435,4,9
2011-01-27,2011,4,1,1,11,392,27,0.120208044899353,4,12
2011-01-28,2011,4,1,1,11,393,28,0.137278772113265,4,10
2011-01-29,2011,4,1,1,11,394,29,0.154308820664281,4,9
2011-01-30,2011,4,1,1,11,395,30,0.171293144181478,4,12
2011-01-31,2011,5,1,1,11,396,31,0.188226709843244,4,12
2011-02-01,2011,5,2,1,11,397,32,0.205104499868619,5,12
2011-02-02,2011,5,2,1,11,398,33,0.221921513004166,5,17
2011-02-03,2011,5,2,1,11,399,34,0.23867276600595,5,15
2011-02-04,2011,5,2,1,11,400,35,0.255353295116187,5,11
2011-02-05,2011,5,2,1,11,401,36,0.271958157534106,5,11
2011-02-06,2011,5,2,1,11,402,37,0.288482432880609,5,12
