date,fylke,numberOfCows,year,week,month,season,seasonIntercept,yearMinus2000,dayOfSeries,mu,y
2010-03-15,1,4,2010,11,3,Spring,1,10,74,20,47
2010-03-16,1,7,2010,11,3,Spring,1,10,75,20,47
2010-03-17,1,6,2010,11,3,Spring,1,10,76,20,46
2010-03-18,1,4,2010,11,3,Spring,1,10,77,20,40
2010-03-19,1,5,2010,11,3,Spring,1,10,78,20,40
2010-03-20,1,3,2010,11,3,Spring,1,10,79,20,35
2010-03-21,1,3,2010,11,3,Spring,1,10,80,20,31
2010-03-22,1,8,2010,12,3,Spring,1,10,81,20,36
2010-03-23,1,6,2010,12,3,Spring,1,10,82,20,36
2010-03-24,1,5,2010,12,3,Spring,1,10,83,20,39
2010-03-25,1,8,2010,12,3,Spring,1,10,84,20,38
2010-03-26,1,8,2010,12,3,Spring,1,10,85,20,33
2010-03-27,1,2,2010,12,3,Spring,1,10,86,20,39
2010-03-28,1,2,2010,12,3,Spring,1,10,87,20,42
2010-03-29,1,11,2010,13,3,Spring,1,10,88,20,41
2010-03-30,1,3,2010,13,3,Spring,1,10,89,20,35
2010-03-31,1,8,2010,13,3,Spring,1,10,90,20,42
2010-04-01,1,3,2010,13,4,Spring,1,10,91,20,33
2010-04-02,1,3,2010,13,4,Spring,1,10,92,20,35
2010-04-03,1,5,2010,13,4,Spring,1,10,93,20,41
2010-04-04,1,4,2010,13,4,Spring,1,10,94,20,39
2010-04-05,1,4,2010,14,4,Spring,1,10,95,20,43
2010-04-06,1,2,2010,14,4,Spring,1,10,96,20,44
2010-04-07,1,7,2010,14,4,Spring,1,10,97,20,39
2010-04-08,1,5,2010,14,4,Spring,1,10,98,20,46
2010-04-09,1,1,2010,14,4,Spring,1,10,99,20,50
2010-04-10,1,6,2010,14,4,Spring,1,10,100,20,45
2010-04-11,1,3,2010,14,4,Spring,1,10,101,20,44
2010-04-12,1,6,2010,15,4,Spring,1,10,102,20,39
2010-04-13,1,4,2010,15,4,Spring,1,10,103,20,45
2010-04-14,1,5,2010,15,4,Spring,1,10,104,20,38
2010-04-15,1,5,2010,15,4,Spring,1,10,105,20,45
2010-04-16,1,5,2010,15,4,Spring,1,10,106,20,43
2010-04-17,1,6,2010,15,4,Spring,1,10,107,20,36
2010-04-18,1,3,2010,15,4,Spring,1,10,108,20,37
2010-04-19,1,10,2010,16,4,Spring,1,10,109,20,37
2010-04-20,1,7,2010,16,4,Spring,1,10,110,20,35
2010-04-21,1,4,2010,16,4,Spring,1,10,111,20,37
2010-04-22,1,4,2010,16,4,Spring,1,10,112,20,38
2010-04-23,1,4,2010,16,4,Spring,1,10,113,20,37
2010-04-24,1,5,2010,16,4,Spring,1,10,114,20,38
2010-04-25,1,6,2010,16,4,Spring,1,10,115,20,40
2010-04-26,1,5,2010,17,4,Spring,1,10,116,20,38
2010-04-27,1,4,2010,17,4,Spring,1,10,117,20,38
2010-04-28,1,7,2010,17,4,Spring,1,10,118,20,42
2010-04-29,1,8,2010,17,4,Spring,1,10,119,20,47
2010-04-30,1,2,2010,17,4,Spring,1,10,120,20,46
2010-05-01,1,3,2010,17,5,Spring,1,10,121,20,43
2010-05-02,1,4,2010,17,5,Spring,1,10,122,20,47
2010-05-03,1,7,2010,18,5,Spring,1,10,123,20,41
2010-05-04,1,3,2010,18,5,Spring,1,10,124,20,44
2010-05-05,1,2,2010,18,5,Spring,1,10,125,20,35
2010-05-06,1,6,2010,18,5,Spring,1,10,126,20,46
2010-05-07,1,10,2010,18,5,Spring,1,10,127,20,48
2010-05-08,1,3,2010,18,5,Spring,1,10,128,20,45
2010-05-09,1,5,2010,18,5,Spring,1,10,129,20,44
2010-05-10,1,4,2010,19,5,Spring,1,10,130,20,41
2010-05-11,1,4,2010,19,5,Spring,1,10,131,20,41
2010-05-12,1,3,2010,19,5,Spring,1,10,132,20,38
2010-05-13,1,4,2010,19,5,Spring,1,10,133,20,43
2010-05-14,1,3,2010,19,5,Spring,1,10,134,20,42
2010-05-15,1,7,2010,19,5,Spring,1,10,135,20,34
2010-05-16,1,8,2010,19,5,Spring,1,10,136,20,43
2010-05-17,1,6,2010,20,5,Spring,1,10,137,20,40
2010-05-18,1,4,2010,20,5,Spring,1,10,138,20,44
2010-05-19,1,4,2010,20,5,Spring,1,10,139,20,40
2010-05-20,1,1,2010,20,5,Spring,1,10,140,20,40
2010-05-21,1,5,2010,20,5,Spring,1,10,141,20,39
2010-05-22,1,6,2010,20,5,Spring,1,10,142,20,42
2010-05-23,1,4,2010,20,5,Spring,1,10,143,20,40
2010-05-24,1,9,2010,21,5,Spring,1,10,144,20,45
2010-05-25,1,3,2010,21,5,Spring,1,10,145,20,36
2010-05-26,1,4,2010,21,5,Spring,1,10,146,20,29
2010-05-27,1,5,2010,21,5,Spring,1,10,147,20,30
2010-05-28,1,10,2010,21,5,Spring,1,10,148,20,33
2010-05-29,1,7,2010,21,5,Spring,1,10,149,20,35
2010-05-30,1,5,2010,21,5,Spring,1,10,150,20,34
2010-05-31,1,4,2010,22,5,Spring,1,10,151,20,34
2010-06-01,1,1,2010,22,6,Summer,2,10,152,55,73
2010-06-02,1,5,2010,22,6,Summer,2,10,153,55,101
2010-06-03,1,9,2010,22,6,Summer,2,10,154,55,100
2010-06-04,1,3,2010,22,6,Summer,2,10,155,55,125
2010-06-05,1,7,2010,22,6,Summer,2,10,156,55,112
2010-06-06,1,3,2010,22,6,Summer,2,10,157,55,116
2010-06-07,1,4,2010,23,6,Summer,2,10,158,55,103
2010-06-08,1,5,2010,23,6,Summer,2,10,159,55,103
2010-06-09,1,7,2010,23,6,Summer,2,10,160,55,106
2010-06-10,1,8,2010,23,6,Summer,2,10,161,55,104
2010-06-11,1,9,2010,23,6,Summer,2,10,162,55,115
2010-06-12,1,4,2010,23,6,Summer,2,10,163,55,111
2010-06-13,1,4,2010,23,6,Summer,2,10,164,55,99
2010-06-14,1,4,2010,24,6,Summer,2,10,165,55,105
2010-06-15,1,2,2010,24,6,Summer,2,10,166,55,108
2010-06-16,1,2,2010,24,6,Summer,2,10,167,55,102
2010-06-17,1,3,2010,24,6,Summer,2,10,168,55,109
2010-06-18,1,3,2010,24,6,Summer,2,10,169,55,104
2010-06-19,1,6,2010,24,6,Summer,2,10,170,55,115
2010-06-20,1,2,2010,24,6,Summer,2,10,171,55,109
2010-06-21,1,5,2010,25,6,Summer,2,10,172,55,100
2010-06-22,1,3,2010,25,6,Summer,2,10,173,55,105
2010-06-23,1,5,2010,25,6,Summer,2,10,174,55,99
2010-06-24,1,3,2010,25,6,Summer,2,10,175,55,97
2010-06-25,1,0,2010,25,6,Summer,2,10,176,55,108
2010-06-26,1,6,2010,25,6,Summer,2,10,177,55,118
2010-06-27,1,3,2010,25,6,Summer,2,10,178,55,115
2010-06-28,1,4,2010,26,6,Summer,2,10,179,55,118
2010-06-29,1,6,2010,26,6,Summer,2,10,180,55,111
2010-06-30,1,2,2010,26,6,Summer,2,10,181,55,124
2010-07-01,1,5,2010,26,7,Summer,2,10,182,55,112
2010-07-02,1,3,2010,26,7,Summer,2,10,183,55,116
2010-07-03,1,8,2010,26,7,Summer,2,10,184,55,105
2010-07-04,1,5,2010,26,7,Summer,2,10,185,55,104
2010-07-05,1,3,2010,27,7,Summer,2,10,186,55,99
2010-07-06,1,6,2010,27,7,Summer,2,10,187,55,95
2010-07-07,1,4,2010,27,7,Summer,2,10,188,55,102
2010-07-08,1,6,2010,27,7,Summer,2,10,189,55,103
2010-07-09,1,9,2010,27,7,Summer,2,10,190,55,99
2010-07-10,1,5,2010,27,7,Summer,2,10,191,55,101
2010-07-11,1,8,2010,27,7,Summer,2,10,192,55,103
2010-07-12,1,11,2010,28,7,Summer,2,10,193,55,106
2010-07-13,1,3,2010,28,7,Summer,2,10,194,55,104
2010-07-14,1,4,2010,28,7,Summer,2,10,195,55,113
2010-07-15,1,6,2010,28,7,Summer,2,10,196,55,104
2010-07-16,1,7,2010,28,7,Summer,2,10,197,55,107
2010-07-17,1,5,2010,28,7,Summer,2,10,198,55,121
2010-07-18,1,4,2010,28,7,Summer,2,10,199,55,119
2010-07-19,1,2,2010,29,7,Summer,2,10,200,55,113
2010-07-20,1,6,2010,29,7,Summer,2,10,201,55,102
2010-07-21,1,7,2010,29,7,Summer,2,10,202,55,109
2010-07-22,1,5,2010,29,7,Summer,2,10,203,55,110
2010-07-23,1,4,2010,29,7,Summer,2,10,204,55,120
2010-07-24,1,4,2010,29,7,Summer,2,10,205,55,98
2010-07-25,1,2,2010,29,7,Summer,2,10,206,55,115
2010-07-26,1,5,2010,30,7,Summer,2,10,207,55,120
2010-07-27,1,5,2010,30,7,Summer,2,10,208,55,103
2010-07-28,1,5,2010,30,7,Summer,2,10,209,55,103
2010-07-29,1,1,2010,30,7,Summer,2,10,210,55,111
2010-07-30,1,2,2010,30,7,Summer,2,10,211,55,114
2010-07-31,1,8,2010,30,7,Summer,2,10,212,55,117
2010-08-01,1,9,2010,30,8,Summer,2,10,213,55,114
2010-08-02,1,6,2010,31,8,Summer,2,10,214,55,114
2010-08-03,1,7,2010,31,8,Summer,2,10,215,55,112
2010-08-04,1,6,2010,31,8,Summer,2,10,216,55,100
2010-08-05,1,3,2010,31,8,Summer,2,10,217,55,108
2010-08-06,1,3,2010,31,8,Summer,2,10,218,55,103
2010-08-07,1,2,2010,31,8,Summer,2,10,219,55,105
2010-08-08,1,6,2010,31,8,Summer,2,10,220,55,108
2010-08-09,1,6,2010,32,8,Summer,2,10,221,55,115
2010-08-10,1,6,2010,32,8,Summer,2,10,222,55,113
2010-08-11,1,7,2010,32,8,Summer,2,10,223,55,104
2010-08-12,1,4,2010,32,8,Summer,2,10,224,55,104
2010-08-13,1,7,2010,32,8,Summer,2,10,225,55,101
2010-08-14,1,5,2010,32,8,Summer,2,10,226,55,107
2010-08-15,1,6,2010,32,8,Summer,2,10,227,55,103
2010-08-16,1,5,2010,33,8,Summer,2,10,228,55,96
2010-08-17,1,5,2010,33,8,Summer,2,10,229,55,112
2010-08-18,1,10,2010,33,8,Summer,2,10,230,55,102
2010-08-19,1,6,2010,33,8,Summer,2,10,231,55,114
2010-08-20,1,7,2010,33,8,Summer,2,10,232,55,120
2010-08-21,1,3,2010,33,8,Summer,2,10,233,55,124
2010-08-22,1,3,2010,33,8,Summer,2,10,234,55,134
2010-08-23,1,4,2010,34,8,Summer,2,10,235,55,139
2010-08-24,1,5,2010,34,8,Summer,2,10,236,55,120
2010-08-25,1,9,2010,34,8,Summer,2,10,237,55,111
2010-08-26,1,3,2010,34,8,Summer,2,10,238,55,106
2010-08-27,1,3,2010,34,8,Summer,2,10,239,55,113
2010-08-28,1,4,2010,34,8,Summer,2,10,240,55,119
2010-08-29,1,5,2010,34,8,Summer,2,10,241,55,117
2010-08-30,1,4,2010,35,8,Summer,2,10,242,55,112
2010-08-31,1,3,2010,35,8,Summer,2,10,243,55,96
2010-09-01,1,6,2010,35,9,Autumn,0,10,244,7,53
2010-09-02,1,10,2010,35,9,Autumn,0,10,245,7,38
2010-09-03,1,2,2010,35,9,Autumn,0,10,246,7,27
2010-09-04,1,4,2010,35,9,Autumn,0,10,247,7,19
2010-09-05,1,6,2010,35,9,Autumn,0,10,248,7,19
2010-09-06,1,7,2010,36,9,Autumn,0,10,249,7,15
2010-09-07,1,4,2010,36,9,Autumn,0,10,250,7,15
2010-09-08,1,7,2010,36,9,Autumn,0,10,251,7,11
2010-09-09,1,2,2010,36,9,Autumn,0,10,252,7,13
2010-09-10,1,3,2010,36,9,Autumn,0,10,253,7,7
2010-09-11,1,4,2010,36,9,Autumn,0,10,254,7,10
2010-09-12,1,6,2010,36,9,Autumn,0,10,255,7,17
2010-09-13,1,5,2010,37,9,Autumn,0,10,256,7,13
2010-09-14,1,4,2010,37,9,Autumn,0,10,257,7,12
2010-09-15,1,13,2010,37,9,Autumn,0,10,258,7,16
2010-09-16,1,1,2010,37,9,Autumn,0,10,259,7,15
2010-09-17,1,8,2010,37,9,Autumn,0,10,260,7,18
2010-09-18,1,7,2010,37,9,Autumn,0,10,261,7,13
2010-09-19,1,2,2010,37,9,Autumn,0,10,262,7,13
2010-09-20,1,6,2010,38,9,Autumn,0,10,263,7,12
2010-09-21,1,2,2010,38,9,Autumn,0,10,264,7,16
2010-09-22,1,3,2010,38,9,Autumn,0,10,265,7,16
2010-09-23,1,0,2010,38,9,Autumn,0,10,266,7,16
2010-09-24,1,1,2010,38,9,Autumn,0,10,267,7,16
2010-09-25,1,5,2010,38,9,Autumn,0,10,268,7,16
2010-09-26,1,4,2010,38,9,Autumn,0,10,269,7,17
2010-09-27,1,8,2010,39,9,Autumn,0,10,270,7,14
2010-09-28,1,7,2010,39,9,Autumn,0,10,271,7,17
2010-09-29,1,9,2010,39,9,Autumn,0,10,272,7,20
2010-09-30,1,6,2010,39,9,Autumn,0,10,273,7,20
2010-10-01,1,5,2010,39,10,Autumn,0,10,274,7,19
2010-10-02,1,5,2010,39,10,Autumn,0,10,275,7,12
2010-10-03,1,8,2010,39,10,Autumn,0,10,276,7,14
2010-10-04,1,2,2010,40,10,Autumn,0,10,277,7,13
2010-10-05,1,8,2010,40,10,Autumn,0,10,278,7,12
2010-10-06,1,8,2010,40,10,Autumn,0,10,279,7,14
2010-10-07,1,5,2010,40,10,Autumn,0,10,280,7,14
2010-10-08,1,7,2010,40,10,Autumn,0,10,281,7,11
2010-10-09,1,4,2010,40,10,Autumn,0,10,282,7,14
2010-10-10,1,7,2010,40,10,Autumn,0,10,283,7,12
2010-10-11,1,1,2010,41,10,Autumn,0,10,284,7,9
2010-10-12,1,3,2010,41,10,Autumn,0,10,285,7,12
2010-10-13,1,2,2010,41,10,Autumn,0,10,286,7,11
2010-10-14,1,6,2010,41,10,Autumn,0,10,287,7,17
2010-10-15,1,2,2010,41,10,Autumn,0,10,288,7,15
2010-10-16,1,3,2010,41,10,Autumn,0,10,289,7,12
2010-10-17,1,4,2010,41,10,Autumn,0,10,290,7,11
2010-10-18,1,4,2010,42,10,Autumn,0,10,291,7,9
2010-10-19,1,1,2010,42,10,Autumn,0,10,292,7,17
2010-10-20,1,2,2010,42,10,Autumn,0,10,293,7,12
2010-10-21,1,5,2010,42,10,Autumn,0,10,294,7,11
2010-10-22,1,6,2010,42,10,Autumn,0,10,295,7,17
2010-10-23,1,11,2010,42,10,Autumn,0,10,296,7,14
2010-10-24,1,4,2010,42,10,Autumn,0,10,297,7,18
2010-10-25,1,4,2010,43,10,Autumn,0,10,298,7,14
2010-10-26,1,7,2010,43,10,Autumn,0,10,299,7,13
2010-10-27,1,3,2010,43,10,Autumn,0,10,300,7,19
2010-10-28,1,7,2010,43,10,Autumn,0,10,301,7,17
2010-10-29,1,5,2010,43,10,Autumn,0,10,302,7,16
2010-10-30,1,3,2010,43,10,Autumn,0,10,303,7,11
2010-10-31,1,3,2010,43,10,Autumn,0,10,304,7,10
2010-11-01,1,9,2010,44,11,Autumn,0,10,305,7,13
2010-11-02,1,10,2010,44,11,Autumn,0,10,306,7,18
2010-11-03,1,8,2010,44,11,Autumn,0,10,307,7,16
2010-11-04,1,11,2010,44,11,Autumn,0,10,308,7,16
2010-11-05,1,4,2010,44,11,Autumn,0,10,309,7,16
2010-11-06,1,7,2010,44,11,Autumn,0,10,310,7,17
2010-11-07,1,6,2010,44,11,Autumn,0,10,311,7,18
2010-11-08,1,6,2010,45,11,Autumn,0,10,312,7,14
2010-11-09,1,3,2010,45,11,Autumn,0,10,313,7,19
2010-11-10,1,7,2010,45,11,Autumn,0,10,314,7,14
2010-11-11,1,3,2010,45,11,Autumn,0,10,315,7,13
2010-11-12,1,6,2010,45,11,Autumn,0,10,316,7,12
2010-11-13,1,1,2010,45,11,Autumn,0,10,317,7,12
2010-11-14,1,4,2010,45,11,Autumn,0,10,318,7,10
2010-11-15,1,7,2010,46,11,Autumn,0,10,319,7,12
2010-11-16,1,4,2010,46,11,Autumn,0,10,320,7,16
2010-11-17,1,6,2010,46,11,Autumn,0,10,321,7,14
2010-11-18,1,3,2010,46,11,Autumn,0,10,322,7,13
2010-11-19,1,6,2010,46,11,Autumn,0,10,323,7,14
2010-11-20,1,4,2010,46,11,Autumn,0,10,324,7,16
2010-11-21,1,3,2010,46,11,Autumn,0,10,325,7,13
2010-11-22,1,8,2010,47,11,Autumn,0,10,326,7,12
2010-11-23,1,2,2010,47,11,Autumn,0,10,327,7,15
2010-11-24,1,2,2010,47,11,Autumn,0,10,328,7,14
2010-11-25,1,7,2010,47,11,Autumn,0,10,329,7,16
2010-11-26,1,6,2010,47,11,Autumn,0,10,330,7,17
2010-11-27,1,2,2010,47,11,Autumn,0,10,331,7,12
2010-11-28,1,5,2010,47,11,Autumn,0,10,332,7,12
2010-11-29,1,5,2010,48,11,Autumn,0,10,333,7,11
2010-11-30,1,5,2010,48,11,Autumn,0,10,334,7,13
2010-12-01,1,3,2010,48,12,Winter,0,10,335,7,10
2010-12-02,1,3,2010,48,12,Winter,0,10,336,7,13
2010-12-03,1,4,2010,48,12,Winter,0,10,337,7,12
2010-12-04,1,8,2010,48,12,Winter,0,10,338,7,9
2010-12-05,1,4,2010,48,12,Winter,0,10,339,7,10
2010-12-06,1,3,2010,49,12,Winter,0,10,340,7,16
2010-12-07,1,9,2010,49,12,Winter,0,10,341,7,14
2010-12-08,1,1,2010,49,12,Winter,0,10,342,7,14
2010-12-09,1,4,2010,49,12,Winter,0,10,343,7,17
2010-12-10,1,3,2010,49,12,Winter,0,10,344,7,17
2010-12-11,1,4,2010,49,12,Winter,0,10,345,7,12
2010-12-12,1,3,2010,49,12,Winter,0,10,346,7,20
2010-12-13,1,1,2010,50,12,Winter,0,10,347,7,16
2010-12-14,1,5,2010,50,12,Winter,0,10,348,7,14
2010-12-15,1,9,2010,50,12,Winter,0,10,349,7,12
2010-12-16,1,1,2010,50,12,Winter,0,10,350,7,11
2010-12-17,1,5,2010,50,12,Winter,0,10,351,7,15
2010-12-18,1,1,2010,50,12,Winter,0,10,352,7,12
2010-12-19,1,4,2010,50,12,Winter,0,10,353,7,11
2010-12-20,1,5,2010,51,12,Winter,0,10,354,7,14
2010-12-21,1,6,2010,51,12,Winter,0,10,355,7,13
2010-12-22,1,6,2010,51,12,Winter,0,10,356,7,13
2010-12-23,1,3,2010,51,12,Winter,0,10,357,7,14
2010-12-24,1,5,2010,51,12,Winter,0,10,358,7,16
2010-12-25,1,3,2010,51,12,Winter,0,10,359,7,14
2010-12-26,1,4,2010,51,12,Winter,0,10,360,7,13
2010-12-27,1,3,2010,52,12,Winter,0,10,361,7,11
2010-12-28,1,4,2010,52,12,Winter,0,10,362,7,11
2010-12-29,1,5,2010,52,12,Winter,0,10,363,7,11
2010-12-30,1,4,2010,52,12,Winter,0,10,364,7,10
2010-12-31,1,6,2010,52,12,Winter,0,10,365,7,12
2011-01-01,1,4,2010,52,1,Winter,0,10,366,7,13
2011-01-02,1,2,2010,52,1,Winter,0,10,367,7,15
2011-01-03,1,2,2011,1,1,Winter,0,11,368,9,15
2011-01-04,1,10,2011,1,1,Winter,0,11,369,9,14
2011-01-05,1,4,2011,1,1,Winter,0,11,370,9,14
2011-01-06,1,3,2011,1,1,Winter,0,11,371,9,15
2011-01-07,1,3,2011,1,1,Winter,0,11,372,9,15
2011-01-08,1,6,2011,1,1,Winter,0,11,373,9,14
2011-01-09,1,5,2011,1,1,Winter,0,11,374,9,13
2011-01-10,1,6,2011,2,1,Winter,0,11,375,9,12
2011-01-11,1,4,2011,2,1,Winter,0,11,376,9,22
2011-01-12,1,5,2011,2,1,Winter,0,11,377,9,26
2011-01-13,1,6,2011,2,1,Winter,0,11,378,9,20
2011-01-14,1,4,2011,2,1,Winter,0,11,379,9,25
2011-01-15,1,3,2011,2,1,Winter,0,11,380,9,21
2011-01-16,1,3,2011,2,1,Winter,0,11,381,9,13
2011-01-17,1,8,2011,3,1,Winter,0,11,382,9,15
2011-01-18,1,5,2011,3,1,Winter,0,11,383,9,18
2011-01-19,1,11,2011,3,1,Winter,0,11,384,9,16
2011-01-20,1,6,2011,3,1,Winter,0,11,385,9,16
2011-01-21,1,6,2011,3,1,Winter,0,11,386,9,17
2011-01-22,1,2,2011,3,1,Winter,0,11,387,9,18
2011-01-23,1,6,2011,3,1,Winter,0,11,388,9,16
2011-01-24,1,4,2011,4,1,Winter,0,11,389,9,16
2011-01-25,1,3,2011,4,1,Winter,0,11,390,9,16
2011-01-26,1,3,2011,4,1,Winter,0,11,391,9,12
2011-01-27,1,2,2011,4,1,Winter,0,11,392,9,8
2011-01-28,1,3,2011,4,1,Winter,0,11,393,9,16
2011-01-29,1,9,2011,4,1,Winter,0,11,394,9,14
2011-01-30,1,8,2011,4,1,Winter,0,11,395,9,14
2011-01-31,1,4,2011,5,1,Winter,0,11,396,9,17
2011-02-01,1,2,2011,5,2,Winter,0,11,397,9,22
2011-02-02,1,5,2011,5,2,Winter,0,11,398,9,21
2011-02-03,1,9,2011,5,2,Winter,0,11,399,9,19
2011-02-04,1,6,2011,5,2,Winter,0,11,400,9,14
2011-02-05,1,8,2011,5,2,Winter,0,11,401,9,18
2011-02-06,1,4,2011,5,2,Winter,0,11,402,9,15
2011-02-07,1,2,2011,6,2,Winter,0,11,403,9,15
2011-02-08,1,7,2011,6,2,Winter,0,11,404,9,18
2011-02-09,1,4,2011,6,2,Winter,0,11,405,9,20
2011-02-10,1,5,2011,6,2,Winter,0,11,406,9,20
2011-02-11,1,7,2011,6,2,Winter,0,11,407,9,20
2011-02-12,1,8,2011,6,2,Winter,0,11,408,9,22
2011-02-13,1,3,2011,6,2,Winter,0,11,409,9,25
2011-02-14,1,1,2011,7,2,Winter,0,11,410,9,17
2011-02-15,1,9,2011,7,2,Winter,0,11,411,9,20
2011-02-16,1,6,2011,7,2,Winter,0,11,412,9,14
2011-02-17,1,1,2011,7,2,Winter,0,11,413,9,19
2011-02-18,1,0,2011,7,2,Winter,0,11,414,9,15
2011-02-19,1,6,2011,7,2,Winter,0,11,415,9,16
2011-02-20,1,3,2011,7,2,Winter,0,11,416,9,17
2011-02-21,1,7,2011,8,2,Winter,0,11,417,9,19
2011-02-22,1,5,2011,8,2,Winter,0,11,418,9,18
2011-02-23,1,5,2011,8,2,Winter,0,11,419,9,18
2011-02-24,1,7,2011,8,2,Winter,0,11,420,9,15
2011-02-25,1,4,2011,8,2,Winter,0,11,421,9,9
2011-02-26,1,5,2011,8,2,Winter,0,11,422,9,18
2011-02-27,1,4,2011,8,2,Winter,0,11,423,9,19
2011-02-28,1,3,2011,9,2,Winter,0,11,424,9,21
2011-03-01,1,4,2011,9,3,Spring,1,11,425,25,32
2011-03-02,1,8,2011,9,3,Spring,1,11,426,25,38
2011-03-03,1,10,2011,9,3,Spring,1,11,427,25,44
2011-03-04,1,4,2011,9,3,Spring,1,11,428,25,40
2011-03-05,1,9,2011,9,3,Spring,1,11,429,25,51
2011-03-06,1,10,2011,9,3,Spring,1,11,430,25,52
2011-03-07,1,3,2011,10,3,Spring,1,11,431,25,49
