date,numberOfCows,year,week,month,season,seasonIntercept,yearMinus2000,dayOfSeries,mu,y
2010-02-09,0,2010,6,2,Winter,0,10,40,8,5
2010-02-10,9,2010,6,2,Winter,0,10,41,49,54
2010-02-11,3,2010,6,2,Winter,0,10,42,15,18
2010-02-12,5,2010,6,2,Winter,0,10,43,22,31
2010-02-13,3,2010,6,2,Winter,0,10,44,15,18
2010-02-14,8,2010,6,2,Winter,0,10,45,40,46
2010-02-15,2,2010,7,2,Winter,0,10,46,12,20
2010-02-16,8,2010,7,2,Winter,0,10,47,40,38
2010-02-17,8,2010,7,2,Winter,0,10,48,40,36
2010-02-18,6,2010,7,2,Winter,0,10,49,27,30
2010-02-19,5,2010,7,2,Winter,0,10,50,22,23
2010-02-20,4,2010,7,2,Winter,0,10,51,18,22
2010-02-21,6,2010,7,2,Winter,0,10,52,27,21
2010-02-22,8,2010,8,2,Winter,0,10,53,40,42
2010-02-23,7,2010,8,2,Winter,0,10,54,33,21
2010-02-24,7,2010,8,2,Winter,0,10,55,33,38
2010-02-25,4,2010,8,2,Winter,0,10,56,18,19
2010-02-26,3,2010,8,2,Winter,0,10,57,15,9
2010-02-27,3,2010,8,2,Winter,0,10,58,15,11
2010-02-28,8,2010,8,2,Winter,0,10,59,40,38
2010-03-01,6,2010,9,3,Spring,1,10,60,74,66
2010-03-02,5,2010,9,3,Spring,1,10,61,60,53
2010-03-03,2,2010,9,3,Spring,1,10,62,33,33
2010-03-04,7,2010,9,3,Spring,1,10,63,90,98
2010-03-05,8,2010,9,3,Spring,1,10,64,110,106
2010-03-06,3,2010,9,3,Spring,1,10,65,40,46
2010-03-07,6,2010,9,3,Spring,1,10,66,74,64
2010-03-08,2,2010,10,3,Spring,1,10,67,33,30
2010-03-09,5,2010,10,3,Spring,1,10,68,60,66
2010-03-10,7,2010,10,3,Spring,1,10,69,90,85
2010-03-11,10,2010,10,3,Spring,1,10,70,164,172
2010-03-12,4,2010,10,3,Spring,1,10,71,49,46
2010-03-13,6,2010,10,3,Spring,1,10,72,74,77
2010-03-14,4,2010,10,3,Spring,1,10,73,49,57
2010-03-15,4,2010,11,3,Spring,1,10,74,49,54
2010-03-16,7,2010,11,3,Spring,1,10,75,90,94
2010-03-17,6,2010,11,3,Spring,1,10,76,74,68
2010-03-18,4,2010,11,3,Spring,1,10,77,49,49
2010-03-19,5,2010,11,3,Spring,1,10,78,60,62
2010-03-20,3,2010,11,3,Spring,1,10,79,40,35
2010-03-21,3,2010,11,3,Spring,1,10,80,40,42
2010-03-22,8,2010,12,3,Spring,1,10,81,110,93
2010-03-23,6,2010,12,3,Spring,1,10,82,74,87
2010-03-24,5,2010,12,3,Spring,1,10,83,60,60
2010-03-25,8,2010,12,3,Spring,1,10,84,110,115
2010-03-26,8,2010,12,3,Spring,1,10,85,110,107
2010-03-27,2,2010,12,3,Spring,1,10,86,33,31
2010-03-28,2,2010,12,3,Spring,1,10,87,33,27
2010-03-29,11,2010,13,3,Spring,1,10,88,200,198
2010-03-30,3,2010,13,3,Spring,1,10,89,40,46
2010-03-31,8,2010,13,3,Spring,1,10,90,110,104
2010-04-01,3,2010,13,4,Spring,1,10,91,40,46
2010-04-02,3,2010,13,4,Spring,1,10,92,40,40
2010-04-03,5,2010,13,4,Spring,1,10,93,60,60
2010-04-04,4,2010,13,4,Spring,1,10,94,49,47
2010-04-05,4,2010,14,4,Spring,1,10,95,49,59
2010-04-06,2,2010,14,4,Spring,1,10,96,33,33
2010-04-07,7,2010,14,4,Spring,1,10,97,90,104
2010-04-08,5,2010,14,4,Spring,1,10,98,60,50
2010-04-09,1,2010,14,4,Spring,1,10,99,27,25
2010-04-10,6,2010,14,4,Spring,1,10,100,74,72
2010-04-11,3,2010,14,4,Spring,1,10,101,40,31
2010-04-12,6,2010,15,4,Spring,1,10,102,74,88
2010-04-13,4,2010,15,4,Spring,1,10,103,49,45
2010-04-14,5,2010,15,4,Spring,1,10,104,60,74
2010-04-15,5,2010,15,4,Spring,1,10,105,60,59
2010-04-16,5,2010,15,4,Spring,1,10,106,60,69
2010-04-17,6,2010,15,4,Spring,1,10,107,74,81
2010-04-18,3,2010,15,4,Spring,1,10,108,40,35
2010-04-19,10,2010,16,4,Spring,1,10,109,164,165
2010-04-20,7,2010,16,4,Spring,1,10,110,90,73
2010-04-21,4,2010,16,4,Spring,1,10,111,49,50
2010-04-22,4,2010,16,4,Spring,1,10,112,49,52
2010-04-23,4,2010,16,4,Spring,1,10,113,49,46
2010-04-24,5,2010,16,4,Spring,1,10,114,60,65
2010-04-25,6,2010,16,4,Spring,1,10,115,74,85
2010-04-26,5,2010,17,4,Spring,1,10,116,60,62
2010-04-27,4,2010,17,4,Spring,1,10,117,49,44
2010-04-28,7,2010,17,4,Spring,1,10,118,90,78
2010-04-29,8,2010,17,4,Spring,1,10,119,110,116
2010-04-30,2,2010,17,4,Spring,1,10,120,33,27
2010-05-01,3,2010,17,5,Spring,1,10,121,40,37
2010-05-02,4,2010,17,5,Spring,1,10,122,49,60
2010-05-03,7,2010,18,5,Spring,1,10,123,90,96
2010-05-04,3,2010,18,5,Spring,1,10,124,40,34
2010-05-05,2,2010,18,5,Spring,1,10,125,33,28
2010-05-06,6,2010,18,5,Spring,1,10,126,74,78
2010-05-07,10,2010,18,5,Spring,1,10,127,164,146
2010-05-08,3,2010,18,5,Spring,1,10,128,40,51
2010-05-09,5,2010,18,5,Spring,1,10,129,60,47
2010-05-10,4,2010,19,5,Spring,1,10,130,49,56
2010-05-11,4,2010,19,5,Spring,1,10,131,49,59
2010-05-12,3,2010,19,5,Spring,1,10,132,40,46
2010-05-13,4,2010,19,5,Spring,1,10,133,49,52
2010-05-14,3,2010,19,5,Spring,1,10,134,40,39
2010-05-15,7,2010,19,5,Spring,1,10,135,90,86
2010-05-16,8,2010,19,5,Spring,1,10,136,110,121
2010-05-17,6,2010,20,5,Spring,1,10,137,74,55
2010-05-18,4,2010,20,5,Spring,1,10,138,49,48
2010-05-19,4,2010,20,5,Spring,1,10,139,49,53
2010-05-20,1,2010,20,5,Spring,1,10,140,27,16
2010-05-21,5,2010,20,5,Spring,1,10,141,60,57
2010-05-22,6,2010,20,5,Spring,1,10,142,74,72
2010-05-23,4,2010,20,5,Spring,1,10,143,49,37
2010-05-24,9,2010,21,5,Spring,1,10,144,134,162
2010-05-25,3,2010,21,5,Spring,1,10,145,40,47
2010-05-26,4,2010,21,5,Spring,1,10,146,49,50
2010-05-27,5,2010,21,5,Spring,1,10,147,60,54
2010-05-28,10,2010,21,5,Spring,1,10,148,164,157
2010-05-29,7,2010,21,5,Spring,1,10,149,90,101
2010-05-30,5,2010,21,5,Spring,1,10,150,60,49
2010-05-31,4,2010,22,5,Spring,1,10,151,49,51
2010-06-01,1,2010,22,6,Summer,2,10,152,74,67
2010-06-02,5,2010,22,6,Summer,2,10,153,164,167
2010-06-03,9,2010,22,6,Summer,2,10,154,365,354
2010-06-04,3,2010,22,6,Summer,2,10,155,110,117
2010-06-05,7,2010,22,6,Summer,2,10,156,245,237
2010-06-06,3,2010,22,6,Summer,2,10,157,110,112
2010-06-07,4,2010,23,6,Summer,2,10,158,134,133
2010-06-08,5,2010,23,6,Summer,2,10,159,164,155
2010-06-09,7,2010,23,6,Summer,2,10,160,245,230
2010-06-10,8,2010,23,6,Summer,2,10,161,299,318
2010-06-11,9,2010,23,6,Summer,2,10,162,365,348
2010-06-12,4,2010,23,6,Summer,2,10,163,134,121
2010-06-13,4,2010,23,6,Summer,2,10,164,134,124
2010-06-14,4,2010,24,6,Summer,2,10,165,134,111
2010-06-15,2,2010,24,6,Summer,2,10,166,90,85
2010-06-16,2,2010,24,6,Summer,2,10,167,90,87
2010-06-17,3,2010,24,6,Summer,2,10,168,110,124
2010-06-18,3,2010,24,6,Summer,2,10,169,110,120
2010-06-19,6,2010,24,6,Summer,2,10,170,200,189
2010-06-20,2,2010,24,6,Summer,2,10,171,90,90
2010-06-21,5,2010,25,6,Summer,2,10,172,164,157
2010-06-22,3,2010,25,6,Summer,2,10,173,110,114
2010-06-23,5,2010,25,6,Summer,2,10,174,164,157
2010-06-24,3,2010,25,6,Summer,2,10,175,110,109
2010-06-25,0,2010,25,6,Summer,2,10,176,60,68
2010-06-26,6,2010,25,6,Summer,2,10,177,200,216
2010-06-27,3,2010,25,6,Summer,2,10,178,110,117
2010-06-28,4,2010,26,6,Summer,2,10,179,134,140
2010-06-29,6,2010,26,6,Summer,2,10,180,200,195
2010-06-30,2,2010,26,6,Summer,2,10,181,90,89
2010-07-01,5,2010,26,7,Summer,2,10,182,164,165
2010-07-02,3,2010,26,7,Summer,2,10,183,110,107
2010-07-03,8,2010,26,7,Summer,2,10,184,299,269
2010-07-04,5,2010,26,7,Summer,2,10,185,164,165
2010-07-05,3,2010,27,7,Summer,2,10,186,110,110
2010-07-06,6,2010,27,7,Summer,2,10,187,200,210
2010-07-07,4,2010,27,7,Summer,2,10,188,134,133
2010-07-08,6,2010,27,7,Summer,2,10,189,200,212
2010-07-09,9,2010,27,7,Summer,2,10,190,365,397
2010-07-10,5,2010,27,7,Summer,2,10,191,164,161
2010-07-11,8,2010,27,7,Summer,2,10,192,299,315
2010-07-12,11,2010,28,7,Summer,2,10,193,545,560
2010-07-13,3,2010,28,7,Summer,2,10,194,110,112
2010-07-14,4,2010,28,7,Summer,2,10,195,134,129
2010-07-15,6,2010,28,7,Summer,2,10,196,200,206
2010-07-16,7,2010,28,7,Summer,2,10,197,245,209
2010-07-17,5,2010,28,7,Summer,2,10,198,164,153
2010-07-18,4,2010,28,7,Summer,2,10,199,134,132
2010-07-19,2,2010,29,7,Summer,2,10,200,90,87
2010-07-20,6,2010,29,7,Summer,2,10,201,200,184
2010-07-21,7,2010,29,7,Summer,2,10,202,245,251
2010-07-22,5,2010,29,7,Summer,2,10,203,164,177
2010-07-23,4,2010,29,7,Summer,2,10,204,134,139
2010-07-24,4,2010,29,7,Summer,2,10,205,134,145
2010-07-25,2,2010,29,7,Summer,2,10,206,90,96
2010-07-26,5,2010,30,7,Summer,2,10,207,164,164
2010-07-27,5,2010,30,7,Summer,2,10,208,164,150
2010-07-28,5,2010,30,7,Summer,2,10,209,164,150
2010-07-29,1,2010,30,7,Summer,2,10,210,74,85
2010-07-30,2,2010,30,7,Summer,2,10,211,90,100
2010-07-31,8,2010,30,7,Summer,2,10,212,299,293
2010-08-01,9,2010,30,8,Summer,2,10,213,365,393
2010-08-02,6,2010,31,8,Summer,2,10,214,200,194
2010-08-03,7,2010,31,8,Summer,2,10,215,245,269
2010-08-04,6,2010,31,8,Summer,2,10,216,200,190
2010-08-05,3,2010,31,8,Summer,2,10,217,110,114
2010-08-06,3,2010,31,8,Summer,2,10,218,110,124
2010-08-07,2,2010,31,8,Summer,2,10,219,90,87
2010-08-08,6,2010,31,8,Summer,2,10,220,200,200
2010-08-09,6,2010,32,8,Summer,2,10,221,200,189
2010-08-10,6,2010,32,8,Summer,2,10,222,200,206
2010-08-11,7,2010,32,8,Summer,2,10,223,245,248
2010-08-12,4,2010,32,8,Summer,2,10,224,134,137
2010-08-13,7,2010,32,8,Summer,2,10,225,245,239
2010-08-14,5,2010,32,8,Summer,2,10,226,164,169
2010-08-15,6,2010,32,8,Summer,2,10,227,200,190
2010-08-16,5,2010,33,8,Summer,2,10,228,164,149
2010-08-17,5,2010,33,8,Summer,2,10,229,164,173
2010-08-18,10,2010,33,8,Summer,2,10,230,446,453
2010-08-19,6,2010,33,8,Summer,2,10,231,200,166
2010-08-20,7,2010,33,8,Summer,2,10,232,245,207
2010-08-21,3,2010,33,8,Summer,2,10,233,110,110
2010-08-22,3,2010,33,8,Summer,2,10,234,110,117
2010-08-23,4,2010,34,8,Summer,2,10,235,134,142
2010-08-24,5,2010,34,8,Summer,2,10,236,164,163
2010-08-25,9,2010,34,8,Summer,2,10,237,365,358
2010-08-26,3,2010,34,8,Summer,2,10,238,110,124
2010-08-27,3,2010,34,8,Summer,2,10,239,110,108
2010-08-28,4,2010,34,8,Summer,2,10,240,134,118
2010-08-29,5,2010,34,8,Summer,2,10,241,164,171
2010-08-30,4,2010,35,8,Summer,2,10,242,134,142
2010-08-31,3,2010,35,8,Summer,2,10,243,110,96
2010-09-01,6,2010,35,9,Autumn,0,10,244,27,29
2010-09-02,10,2010,35,9,Autumn,0,10,245,60,63
2010-09-03,2,2010,35,9,Autumn,0,10,246,12,10
2010-09-04,4,2010,35,9,Autumn,0,10,247,18,18
2010-09-05,6,2010,35,9,Autumn,0,10,248,27,34
2010-09-06,7,2010,36,9,Autumn,0,10,249,33,38
2010-09-07,4,2010,36,9,Autumn,0,10,250,18,19
2010-09-08,7,2010,36,9,Autumn,0,10,251,33,36
2010-09-09,2,2010,36,9,Autumn,0,10,252,12,16
2010-09-10,3,2010,36,9,Autumn,0,10,253,15,11
2010-09-11,4,2010,36,9,Autumn,0,10,254,18,22
2010-09-12,6,2010,36,9,Autumn,0,10,255,27,24
2010-09-13,5,2010,37,9,Autumn,0,10,256,22,15
2010-09-14,4,2010,37,9,Autumn,0,10,257,18,23
2010-09-15,13,2010,37,9,Autumn,0,10,258,110,130
2010-09-16,1,2010,37,9,Autumn,0,10,259,10,11
2010-09-17,8,2010,37,9,Autumn,0,10,260,40,38
2010-09-18,7,2010,37,9,Autumn,0,10,261,33,16
2010-09-19,2,2010,37,9,Autumn,0,10,262,12,7
2010-09-20,6,2010,38,9,Autumn,0,10,263,27,23
2010-09-21,2,2010,38,9,Autumn,0,10,264,12,10
2010-09-22,3,2010,38,9,Autumn,0,10,265,15,20
2010-09-23,0,2010,38,9,Autumn,0,10,266,8,13
2010-09-24,1,2010,38,9,Autumn,0,10,267,10,17
2010-09-25,5,2010,38,9,Autumn,0,10,268,22,20
2010-09-26,4,2010,38,9,Autumn,0,10,269,18,20
2010-09-27,8,2010,39,9,Autumn,0,10,270,40,40
2010-09-28,7,2010,39,9,Autumn,0,10,271,33,29
2010-09-29,9,2010,39,9,Autumn,0,10,272,49,54
2010-09-30,6,2010,39,9,Autumn,0,10,273,27,35
2010-10-01,5,2010,39,10,Autumn,0,10,274,22,20
2010-10-02,5,2010,39,10,Autumn,0,10,275,22,13
2010-10-03,8,2010,39,10,Autumn,0,10,276,40,39
2010-10-04,2,2010,40,10,Autumn,0,10,277,12,18
2010-10-05,8,2010,40,10,Autumn,0,10,278,40,46
2010-10-06,8,2010,40,10,Autumn,0,10,279,40,37
2010-10-07,5,2010,40,10,Autumn,0,10,280,22,19
2010-10-08,7,2010,40,10,Autumn,0,10,281,33,31
2010-10-09,4,2010,40,10,Autumn,0,10,282,18,13
2010-10-10,7,2010,40,10,Autumn,0,10,283,33,33
2010-10-11,1,2010,41,10,Autumn,0,10,284,10,7
2010-10-12,3,2010,41,10,Autumn,0,10,285,15,15
2010-10-13,2,2010,41,10,Autumn,0,10,286,12,16
2010-10-14,6,2010,41,10,Autumn,0,10,287,27,22
2010-10-15,2,2010,41,10,Autumn,0,10,288,12,14
2010-10-16,3,2010,41,10,Autumn,0,10,289,15,11
2010-10-17,4,2010,41,10,Autumn,0,10,290,18,13
2010-10-18,4,2010,42,10,Autumn,0,10,291,18,16
2010-10-19,1,2010,42,10,Autumn,0,10,292,10,6
2010-10-20,2,2010,42,10,Autumn,0,10,293,12,14
2010-10-21,5,2010,42,10,Autumn,0,10,294,22,19
2010-10-22,6,2010,42,10,Autumn,0,10,295,27,24
2010-10-23,11,2010,42,10,Autumn,0,10,296,74,62
2010-10-24,4,2010,42,10,Autumn,0,10,297,18,22
2010-10-25,4,2010,43,10,Autumn,0,10,298,18,20
2010-10-26,7,2010,43,10,Autumn,0,10,299,33,44
2010-10-27,3,2010,43,10,Autumn,0,10,300,15,10
2010-10-28,7,2010,43,10,Autumn,0,10,301,33,47
2010-10-29,5,2010,43,10,Autumn,0,10,302,22,23
2010-10-30,3,2010,43,10,Autumn,0,10,303,15,19
2010-10-31,3,2010,43,10,Autumn,0,10,304,15,12
2010-11-01,9,2010,44,11,Autumn,0,10,305,49,44
2010-11-02,10,2010,44,11,Autumn,0,10,306,60,60
2010-11-03,8,2010,44,11,Autumn,0,10,307,40,33
2010-11-04,11,2010,44,11,Autumn,0,10,308,74,71
2010-11-05,4,2010,44,11,Autumn,0,10,309,18,20
2010-11-06,7,2010,44,11,Autumn,0,10,310,33,31
2010-11-07,6,2010,44,11,Autumn,0,10,311,27,31
2010-11-08,6,2010,45,11,Autumn,0,10,312,27,29
2010-11-09,3,2010,45,11,Autumn,0,10,313,15,14
2010-11-10,7,2010,45,11,Autumn,0,10,314,33,35
2010-11-11,3,2010,45,11,Autumn,0,10,315,15,20
2010-11-12,6,2010,45,11,Autumn,0,10,316,27,28
2010-11-13,1,2010,45,11,Autumn,0,10,317,10,6
2010-11-14,4,2010,45,11,Autumn,0,10,318,18,14
2010-11-15,7,2010,46,11,Autumn,0,10,319,33,35
2010-11-16,4,2010,46,11,Autumn,0,10,320,18,24
2010-11-17,6,2010,46,11,Autumn,0,10,321,27,20
2010-11-18,3,2010,46,11,Autumn,0,10,322,15,18
2010-11-19,6,2010,46,11,Autumn,0,10,323,27,32
2010-11-20,4,2010,46,11,Autumn,0,10,324,18,21
2010-11-21,3,2010,46,11,Autumn,0,10,325,15,17
2010-11-22,8,2010,47,11,Autumn,0,10,326,40,39
2010-11-23,2,2010,47,11,Autumn,0,10,327,12,11
2010-11-24,2,2010,47,11,Autumn,0,10,328,12,15
2010-11-25,7,2010,47,11,Autumn,0,10,329,33,29
2010-11-26,6,2010,47,11,Autumn,0,10,330,27,19
2010-11-27,2,2010,47,11,Autumn,0,10,331,12,11
2010-11-28,5,2010,47,11,Autumn,0,10,332,22,21
2010-11-29,5,2010,48,11,Autumn,0,10,333,22,17
2010-11-30,5,2010,48,11,Autumn,0,10,334,22,20
2010-12-01,3,2010,48,12,Winter,0,10,335,15,14
2010-12-02,3,2010,48,12,Winter,0,10,336,15,14
2010-12-03,4,2010,48,12,Winter,0,10,337,18,29
2010-12-04,8,2010,48,12,Winter,0,10,338,40,58
2010-12-05,4,2010,48,12,Winter,0,10,339,18,11
2010-12-06,3,2010,49,12,Winter,0,10,340,15,11
2010-12-07,9,2010,49,12,Winter,0,10,341,49,47
2010-12-08,1,2010,49,12,Winter,0,10,342,10,10
2010-12-09,4,2010,49,12,Winter,0,10,343,18,16
2010-12-10,3,2010,49,12,Winter,0,10,344,15,17
2010-12-11,4,2010,49,12,Winter,0,10,345,18,26
2010-12-12,3,2010,49,12,Winter,0,10,346,15,12
2010-12-13,1,2010,50,12,Winter,0,10,347,10,16
2010-12-14,5,2010,50,12,Winter,0,10,348,22,25
2010-12-15,9,2010,50,12,Winter,0,10,349,49,52
2010-12-16,1,2010,50,12,Winter,0,10,350,10,14
2010-12-17,5,2010,50,12,Winter,0,10,351,22,21
2010-12-18,1,2010,50,12,Winter,0,10,352,10,5
2010-12-19,4,2010,50,12,Winter,0,10,353,18,17
2010-12-20,5,2010,51,12,Winter,0,10,354,22,26
2010-12-21,6,2010,51,12,Winter,0,10,355,27,27
2010-12-22,6,2010,51,12,Winter,0,10,356,27,36
2010-12-23,3,2010,51,12,Winter,0,10,357,15,16
2010-12-24,5,2010,51,12,Winter,0,10,358,22,21
2010-12-25,3,2010,51,12,Winter,0,10,359,15,16
2010-12-26,4,2010,51,12,Winter,0,10,360,18,18
2010-12-27,3,2010,52,12,Winter,0,10,361,15,17
2010-12-28,4,2010,52,12,Winter,0,10,362,18,23
2010-12-29,5,2010,52,12,Winter,0,10,363,22,24
2010-12-30,4,2010,52,12,Winter,0,10,364,18,17
2010-12-31,6,2010,52,12,Winter,0,10,365,27,22
2011-01-01,4,2010,52,1,Winter,0,10,366,18,9
2011-01-02,2,2010,52,1,Winter,0,10,367,12,10
2011-01-03,2,2011,1,1,Winter,0,11,368,15,13
2011-01-04,10,2011,1,1,Winter,0,11,369,74,80
2011-01-05,4,2011,1,1,Winter,0,11,370,22,25
2011-01-06,3,2011,1,1,Winter,0,11,371,18,13
2011-01-07,3,2011,1,1,Winter,0,11,372,18,12
2011-01-08,6,2011,1,1,Winter,0,11,373,33,31
2011-01-09,5,2011,1,1,Winter,0,11,374,27,28
2011-01-10,6,2011,2,1,Winter,0,11,375,33,30
2011-01-11,4,2011,2,1,Winter,0,11,376,22,28
2011-01-12,5,2011,2,1,Winter,0,11,377,27,37
2011-01-13,6,2011,2,1,Winter,0,11,378,33,26
2011-01-14,4,2011,2,1,Winter,0,11,379,22,15
2011-01-15,3,2011,2,1,Winter,0,11,380,18,16
2011-01-16,3,2011,2,1,Winter,0,11,381,18,21
2011-01-17,8,2011,3,1,Winter,0,11,382,49,58
2011-01-18,5,2011,3,1,Winter,0,11,383,27,26
2011-01-19,11,2011,3,1,Winter,0,11,384,90,93
2011-01-20,6,2011,3,1,Winter,0,11,385,33,22
2011-01-21,6,2011,3,1,Winter,0,11,386,33,26
2011-01-22,2,2011,3,1,Winter,0,11,387,15,13
2011-01-23,6,2011,3,1,Winter,0,11,388,33,29
2011-01-24,4,2011,4,1,Winter,0,11,389,22,19
2011-01-25,3,2011,4,1,Winter,0,11,390,18,16
2011-01-26,3,2011,4,1,Winter,0,11,391,18,25
2011-01-27,2,2011,4,1,Winter,0,11,392,15,12
2011-01-28,3,2011,4,1,Winter,0,11,393,18,15
2011-01-29,9,2011,4,1,Winter,0,11,394,60,66
2011-01-30,8,2011,4,1,Winter,0,11,395,49,55
2011-01-31,4,2011,5,1,Winter,0,11,396,22,24
2011-02-01,2,2011,5,2,Winter,0,11,397,15,12
2011-02-02,5,2011,5,2,Winter,0,11,398,27,36
2011-02-03,9,2011,5,2,Winter,0,11,399,60,67
2011-02-04,6,2011,5,2,Winter,0,11,400,33,34
2011-02-05,8,2011,5,2,Winter,0,11,401,49,43
2011-02-06,4,2011,5,2,Winter,0,11,402,22,24
2011-02-07,2,2011,6,2,Winter,0,11,403,15,16
2011-02-08,7,2011,6,2,Winter,0,11,404,40,27
2011-02-09,4,2011,6,2,Winter,0,11,405,22,23
2011-02-10,5,2011,6,2,Winter,0,11,406,27,19
2011-02-11,7,2011,6,2,Winter,0,11,407,40,41
2011-02-12,8,2011,6,2,Winter,0,11,408,49,49
2011-02-13,3,2011,6,2,Winter,0,11,409,18,14
2011-02-14,1,2011,7,2,Winter,0,11,410,12,13
2011-02-15,9,2011,7,2,Winter,0,11,411,60,53
2011-02-16,6,2011,7,2,Winter,0,11,412,33,34
2011-02-17,1,2011,7,2,Winter,0,11,413,12,8
2011-02-18,0,2011,7,2,Winter,0,11,414,10,12
2011-02-19,6,2011,7,2,Winter,0,11,415,33,27
2011-02-20,3,2011,7,2,Winter,0,11,416,18,17
2011-02-21,7,2011,8,2,Winter,0,11,417,40,38
2011-02-22,5,2011,8,2,Winter,0,11,418,27,25
2011-02-23,5,2011,8,2,Winter,0,11,419,27,27
2011-02-24,7,2011,8,2,Winter,0,11,420,40,47
2011-02-25,4,2011,8,2,Winter,0,11,421,22,27
2011-02-26,5,2011,8,2,Winter,0,11,422,27,30
2011-02-27,4,2011,8,2,Winter,0,11,423,22,23
2011-02-28,3,2011,9,2,Winter,0,11,424,18,20
2011-03-01,4,2011,9,3,Spring,1,11,425,60,55
2011-03-02,8,2011,9,3,Spring,1,11,426,134,132
2011-03-03,10,2011,9,3,Spring,1,11,427,200,168
2011-03-04,4,2011,9,3,Spring,1,11,428,60,72
2011-03-05,9,2011,9,3,Spring,1,11,429,164,176
2011-03-06,10,2011,9,3,Spring,1,11,430,200,215
2011-03-07,3,2011,10,3,Spring,1,11,431,49,56
2011-03-08,4,2011,10,3,Spring,1,11,432,60,69
2011-03-09,5,2011,10,3,Spring,1,11,433,74,90
2011-03-10,7,2011,10,3,Spring,1,11,434,110,116
2011-03-11,2,2011,10,3,Spring,1,11,435,40,29
2011-03-12,7,2011,10,3,Spring,1,11,436,110,115
2011-03-13,5,2011,10,3,Spring,1,11,437,74,75
2011-03-14,2,2011,11,3,Spring,1,11,438,40,33
2011-03-15,3,2011,11,3,Spring,1,11,439,49,57
2011-03-16,5,2011,11,3,Spring,1,11,440,74,100
2011-03-17,4,2011,11,3,Spring,1,11,441,60,56
2011-03-18,8,2011,11,3,Spring,1,11,442,134,127
2011-03-19,6,2011,11,3,Spring,1,11,443,90,100
2011-03-20,5,2011,11,3,Spring,1,11,444,74,72
2011-03-21,5,2011,12,3,Spring,1,11,445,74,73
2011-03-22,8,2011,12,3,Spring,1,11,446,134,134
2011-03-23,5,2011,12,3,Spring,1,11,447,74,77
2011-03-24,5,2011,12,3,Spring,1,11,448,74,66
2011-03-25,8,2011,12,3,Spring,1,11,449,134,150
2011-03-26,2,2011,12,3,Spring,1,11,450,40,42
2011-03-27,2,2011,12,3,Spring,1,11,451,40,38
2011-03-28,8,2011,13,3,Spring,1,11,452,134,122
2011-03-29,6,2011,13,3,Spring,1,11,453,90,84
2011-03-30,3,2011,13,3,Spring,1,11,454,49,46
2011-03-31,4,2011,13,3,Spring,1,11,455,60,71
2011-04-01,4,2011,13,4,Spring,1,11,456,60,52
2011-04-02,8,2011,13,4,Spring,1,11,457,134,123
2011-04-03,2,2011,13,4,Spring,1,11,458,40,43
2011-04-04,5,2011,14,4,Spring,1,11,459,74,70
2011-04-05,5,2011,14,4,Spring,1,11,460,74,76
